"","gen","BRCA","COADREAD","GBM","GBMLGG","HNSC","KIPAN","KIRC","LGG","LUAD","LUSC","OV","STES","THCA","UCEC","n_significance"
"182","TEX15",0.239534,1e-06,0.052602,0.017501,0.373707,0.762442,0.921219,0.392153,0.772291,0.015254,0.92621,0.581329,0.936243,0.020221,4
"183","THADA",0.945067,0.781152,0.660392,0.094476,0.005921,0.278883,0.314535,NA,0.278718,0.022876,0,0.185541,NA,0.032574,4
"184","THBS2",0.700899,0.941317,NA,NA,0.409928,0,0,NA,0.333288,0.950809,0.039576,0.030531,0.957126,0.079329,4
"185","THSD7A",0.000644,0.008142,0.821828,0.288432,0.347033,0.28023,0.485585,0.805582,0.354629,0.340247,0,0.627862,NA,0.035326,4
"186","TPTE",0.4183,0.000206,0.142652,0.330847,0.995828,0.575378,0.524773,0.24836,0,0.41725,0,0.288523,NA,0.038832,4
"187","TRIO",0.163491,2e-05,0.022276,0.001232,0.99028,0.364877,0.446445,0.96367,0.14644,0.795504,0.111754,0.749443,0.077608,0.009296,4
"188","TRPA1",0.608966,0.539681,0.127828,0.03383,0.534585,0.744307,0.43675,0.732998,0,0.067122,0,0.734666,0.936243,0.038188,4
"189","TRPC4",0.783225,0.003188,0.894059,0.798767,0.507489,0.604366,0.693817,0.553115,0,0.926794,0,0.140603,0.936243,0.046176,4
"190","TTN",0.388403,0,0.122919,0.000133,0.391623,0.387989,0.990382,0.121296,0.516074,0.000427,0.989985,0.067693,0.280679,0,4
"191","TUBGCP6",0.421816,0.82919,0.000247,1e-06,0.204549,0.919232,0.820526,NA,0.062553,0.846836,0.041657,0.022624,NA,0.201861,4
"192","UNC13C",0.632674,1.2e-05,0.094683,0.00391,0.032524,0.999196,0.548765,0.881755,0.157421,0.754198,0.248595,0.57829,NA,0.020543,4
"193","UNC80",0.37699,0,NA,NA,NA,0.221095,0.002714,NA,0.657937,0.415685,0,0.309778,0.857103,0.007717,4
"194","VPS13B",0.923959,2e-06,0.155391,0.17374,0.029199,0.216466,0.28457,0.558936,0.681128,0.579913,0.393656,0.134365,0,0.002608,4
"195","WDR96",0.068082,NA,NA,0.535753,NA,0.657766,NA,0.384358,0,NA,0,4.7e-05,NA,0.046424,4
"196","XRN2",0.539748,0.013596,0.562742,0.304856,0.021809,0.527977,0.371168,0.669288,0.324098,0.486272,0,0.154682,0.936243,0.031266,4
"197","YSK4",0.679401,0.077432,0.083453,0.00321,0.376724,0.973438,0.965222,NA,0.019799,0.072664,0,0.674934,0.864866,0.025898,4
"198","ZC3H12B",0.888399,0.810145,0.947529,0.345799,0.913469,NA,NA,0.006745,0,0.747311,0,0.488941,NA,0.047628,4
"199","ZEB2",0.468733,0.02661,NA,0.302676,0.752827,0.407303,0.367619,0.944486,0,0.346502,0,0.494188,NA,0.041214,4
"200","ZFHX3",0.120863,0.294534,0.19668,0.00254,0.718744,0.769781,0.719318,0,0.115727,0.063056,0.055826,0.603603,0.000136,0.001634,4
"201","ZFHX4",0.128342,0,0.50014,0.41651,0.798092,0.103001,0.031167,0.699425,0.014638,0.779154,0.697158,0.390095,1,0.000113,4
"202","ZNF208",0.677181,0.000451,0.057312,0.774002,0.925649,0.229794,0.087983,0.792204,0.015954,0.237889,0.619784,0.000318,NA,0.03956,4
"203","ABCA10",0.59883,0.67743,0.061255,0.128745,0.179236,0.576168,0.826111,0.782943,0.044852,0.550768,0,0.514449,NA,0.027013,3
"204","ABCA13",0.677354,2.2e-05,0.679567,0.98691,0.845501,0.133028,0.953345,0.698789,0.08105,0.005403,0.222508,0.434713,NA,0.000555,3
"205","ADAMTS20",0.158752,4.4e-05,0.907491,0.860535,0.41073,0.113463,0.227441,0.625525,0.736719,0.165561,0,0.437845,1,0.034191,3
"206","AFF2",0.063514,0.002741,0.400294,0.2073,0.677576,0.093655,4.6e-05,0.463109,0.76121,0.34023,0.869217,0.89323,0.907185,0.010327,3
"207","AHCTF1",0.71251,0.709566,0.109449,0.018079,0.297652,0.424521,0.487949,NA,0.464953,0.798055,0,0.864015,NA,0.024416,3
"208","AKAP11",0.148368,0.771929,0.668488,0.82918,0.114078,0.788324,0.944502,NA,0,0.841616,0,0.423329,0.957126,0.039334,3
"209","AKAP6",0.739569,0.000942,0.0783,0.359982,0.847132,0.517618,0.471421,0.574527,0.741856,0.133174,0.436175,0.228998,0,0.016064,3
"210","ALMS1",0.000793,1e-06,0.443553,0.425188,0.250842,0.576623,0.971417,0.579697,0.449521,0.692801,0.629139,0.842439,0.67227,0.014583,3
"211","ANK3",0.000255,0.029319,0.316283,0.913256,0.706896,0.488175,0.695527,0.555499,0.397237,0.402992,0.060571,0.525745,0.880708,0.004547,3
"212","ANKRD30B",0.541136,NA,0.869494,0.227135,0.662247,0.376789,0.36103,0.004994,0.936523,NA,0.435609,0.017961,0.936243,0.007583,3
"213","ANKRD36",0.595529,NA,0.541678,0.522982,0.081292,0.176526,0.092792,NA,0,0.088278,0,0.881557,1,0.044873,3
"214","AQR",0.89375,0.774842,0.134167,0.266546,0.638509,0.830502,0.946805,NA,0,0.906353,0,0.803185,NA,0.049525,3
"215","ASCC3",0.942488,0,0.708189,0.369361,0.175542,0.174029,0.3894,NA,0.581031,0.000231,0.568922,0.788523,0.936243,0.016837,3
"216","ASPM",0.290906,0.001825,0.023813,0.074476,0.748037,0.057205,0.070277,0.401615,0.695208,0.312511,0.102681,0.622814,0.739284,0.000927,3
"217","ASTN1",0.200745,0.000181,0.940577,0.277349,0.066027,0.344563,0.672592,0.000403,0.036014,0.554831,0.328295,0.975639,0.785622,0.108201,3
"218","ATG2B",0.049383,0.438029,0.723126,0.107685,0.427403,0.288735,0.450923,0.376712,0.289953,0.070259,0,0.90429,1,0.032147,3
"219","ATP1A2",0.495787,0,0.381819,0.722275,0.661621,0.507557,0.176514,0.599187,0.80871,0.909408,0.303934,0.277604,0.029338,0.019483,3
"220","B2M",0.805438,0.733678,0.051838,0.005256,0.389672,0.824736,NA,NA,0.9644,0.001706,0.626231,0.024129,NA,0.594347,3
"221","BCOR",0.744373,0.018909,0.1527,0.910835,0.018488,0.426528,0.800893,0.271204,0.307402,0.872799,0.461027,0.238486,0.936243,0.023268,3
"222","BOD1L",NA,0.614252,0.514098,0.060045,0.700847,0.03426,0.093061,NA,0.218143,0.003951,0.341287,0.265585,NA,0.017642,3
"223","BRCA2",0.881612,0.000265,0.184201,0.214592,0.973802,0.62034,0.816289,0.540831,0.933026,0.717735,0.032813,0.301263,0.74671,0.003706,3
"224","C11orf41",NA,2e-05,0.753753,0.77503,0.762714,0.064843,0.17795,NA,0.808592,0.139094,0,0.717474,NA,0.025586,3
"225","C20orf26",0.088115,0.162,NA,0.575167,0.038143,0.830192,0.895147,0.803014,0.696949,0.11171,0,0.771128,NA,0.032825,3
"226","C2orf16",0.739291,0.066705,6e-06,0,0.405275,0.699612,0.239754,NA,0.55759,0.943884,0.167235,0.622819,NA,0.011251,3
"227","CACNA1S",0.916948,0.069715,0.085737,0.706771,0.985224,0.282686,0.909428,0.019085,0.898094,0.330251,0,0.32063,0.907185,0.028396,3
"228","CAD",0.448732,0.012608,0.693678,0.390031,0.186935,0.362638,0.799345,0.285308,0.986672,0.137601,0,0.588953,NA,0.026647,3
"229","CDH10",0.369124,0.017417,NA,0.479948,0.010289,0.561189,0.57378,0.76041,0.557085,0.09618,0.303236,0.436008,0.936243,0.013978,3
"230","CHD3",0.583987,5e-06,0.408202,0.528972,0.938773,0.752946,0.476426,NA,0.982063,0.745301,0.815558,0.015918,0.002363,0.108282,3
"231","CHD7",0.865033,0.671384,0.838528,0.532783,0.967397,0.00236,0.00242,0.574527,0.158163,0.349871,0.213948,0.97999,0.907185,0.007267,3
"232","CMYA5",0.158677,0.000157,0.528546,0.352822,0.477273,0.440525,0.142179,0,0.870526,0.978457,0.738906,0.958976,NA,0.0085,3
"233","CNOT1",0.505059,0.359498,0.56587,0.419551,0.71297,0.922323,0.982622,0.408243,0,0.150261,0,0.921676,0.909929,0.039428,3
"234","CNTN4",0.997442,8e-06,0.9517,0.303124,0.624255,0.872327,NA,0.782943,0.966183,0.161361,0,0.985243,NA,0.03414,3
"235","CNTNAP5",0.401678,0,0.920864,0.226908,0.188299,0.973438,NA,NA,0.43411,0.606927,0,0.692221,NA,0.034992,3
"236","COL11A1",0.016809,0.400349,0.992282,0.788034,0.362006,0.714097,0.857718,0.748778,0.321143,0.002939,0.001165,0.37846,1,0.403786,3
"237","CPS1",0.934614,0.681536,0.992075,0.890312,0.459683,0.400265,0.32021,0.454294,0,0.531917,0,0.219225,0.957126,0.042717,3
"238","CRB1",0.850236,0.000304,0.337152,0.462777,0.26499,0.129481,0.077294,NA,0.00018,0.354751,0.164171,0.404894,1,0.017999,3
"239","CUBN",0.943224,0.042737,0.086359,0.298784,0.310607,0.283052,0.616149,0.534627,0.360893,0.221234,0.016696,0.679804,NA,0.009643,3
"240","CUX1",0.684759,0.402937,0.962394,0.52882,0.00194,0.973431,0.745859,NA,0.176304,0.358998,0,0.161844,0.52378,0.02755,3
"241","DGKI",0.605969,0.43918,0.746105,0.791252,0.508023,NA,NA,NA,0,0.123809,0,0.595297,NA,0.046255,3
"242","DIAPH3",0.436328,0.000867,0.556165,0.25088,0.614482,0.476201,0.136412,NA,0.369856,0.087477,0,0.890198,NA,0.026243,3
"243","DLC1",0.302256,0.651124,0.720203,0.941129,0.787723,0.538695,0.49599,0.247931,0,0.359395,0,0.698919,0.117313,0.049535,3
"244","DMXL2",0.503298,0.009061,NA,0.617578,0.022883,0.712347,0.8586,0.861276,0.820406,0.174271,0.680245,0.852953,0.907185,0.006745,3
"245","DNAH14",0.896717,0.000268,NA,NA,NA,0.615541,0.550314,NA,NA,0.285175,0,0.362883,NA,0.031154,3
"246","DNAH9",0.124094,0,0.447081,0.93246,0.164905,0.489158,0.499706,0.842533,0.830389,0.040121,0.193533,0.885632,0.59743,0.000689,3
"247","DNMBP",0.849262,0.027549,0.35245,0.996632,0.121976,0.904673,NA,NA,0.105041,0.870198,0,0.562407,NA,0.034886,3
"248","DOCK1",0.791655,0.006493,0.189999,0.02724,0.627265,0.920566,0.823248,NA,0.572501,0.734139,0.949791,0.394632,NA,0.012813,3
"249","DOCK10",0.739141,6.7e-05,0.277902,0.888523,0.180303,0.100915,0.414114,NA,0.284292,0.050016,1e-06,0.525318,0.936243,0.014379,3
"250","DOCK4",0.135225,2e-06,0.400838,0.051082,0.636721,0.342541,0.792923,0.24612,0.750031,0.558667,0,0.140325,0.936243,0.024002,3
"251","DSCAML1",0.425593,0.221895,0.552274,0.480483,0.877387,0.43476,0.327308,0.76041,0,0.602523,0,0.313624,1,0.042179,3
"252","DST",0.6539,5.2e-05,0.689919,0.407542,0.038069,0.39626,0.270883,0.578437,0.68198,0.24663,0.402558,0.166881,0.909929,7.9e-05,3
"253","DYNC1H1",0.814971,0,0.49321,0.633915,0.252695,0.372113,0.836513,0.77239,0.532712,0.253383,0,0.666979,0.618868,0.026492,3
"254","EP400",0.32783,0.000129,0.980092,0.742751,0.349376,0.353306,0.580685,0.587799,0.749569,0.219374,0.545697,0.04816,NA,0.01735,3
"255","EPG5",0.229162,NA,NA,0.921723,NA,0.998103,NA,0.037713,NA,NA,0,0.96817,0.812663,0.03112,3
"256","EPHB1",0.326258,0.71445,0.065821,0.313672,0.916217,0.887277,0.478466,NA,0,0.231584,0,0.241195,0.62353,0.03745,3
"257","FAM135B",0.185324,0.933397,0.804741,0.325757,0.00196,0.887572,0.295563,0.123693,0.36699,0.398994,0.206359,0.044511,0.817488,0.037292,3
"258","FAM47B",0.230189,0.017854,0.696318,0.720922,0.372605,0.945797,0.52601,0.009518,0.039045,0.31512,0.728422,0.315849,NA,0.24656,3
"259","FILIP1",0.695369,0.735383,0.240644,0.078617,0.351301,0.392898,0.36103,0.057045,0,0.303814,0,0.659476,1,0.038156,3
"260","FLG2",0.760757,2.6e-05,0.60905,0.052395,0.731242,0.407913,0.636151,0.915706,0.708659,0.647456,0,0.605509,0.620848,0.031854,3
"261","FREM3",0.858443,NA,NA,NA,NA,0.514116,0.464175,NA,0,NA,0,0.725622,NA,0.045429,3
"262","FRY",0.351677,0.036475,0.300911,0.137564,0.291508,0.32964,0.43754,0.515858,0.533572,0.363309,0,0.281425,0.841186,0.027848,3
"263","GOLGB1",0.671081,0.000366,0.738418,0.763774,0.260579,0.833245,0.800688,0.574527,0.212078,0.540941,0,0.352962,1,0.028593,3
"264","GRIN2B",0.830075,2.5e-05,0.317575,0.896433,0.492514,0.319988,0.556318,0.399139,0.666591,0.211391,0,0.089274,0.887443,0.026478,3
"265","HERC1",0.81988,0,0.335061,0.869589,0.453353,0.010563,0.513847,0.357025,0.114891,0.185227,0.736631,0.614653,0.936243,0.005164,3
"266","HUWE1",0.020991,0.063207,0.987422,0.071141,0.873916,0.220832,0.651525,1e-06,0.574071,0.065473,0.091531,0.908659,0.936243,0.000244,3
"267","IDH1",0.250147,0.841401,0.004823,0,0.465334,0.44519,0.39112,0.042601,0.933706,0.122913,NA,0.806897,NA,0.347637,3
"268","IGSF1",0.223585,0.003715,0.277389,0.915824,0.577511,0.347326,0.352902,0.704363,0.428981,0.184992,0,0.331626,0.957126,0.03102,3
"269","IQGAP2",0.206386,0.032258,1,1,0.637685,0.550785,0.27188,NA,0.350555,0.78741,0,0.453749,NA,0.035085,3
"270","KIAA1210",0.328058,0.009799,0.590989,0.43754,0.959559,0.339688,0.440362,0.906321,0.61847,0.159267,0,0.285752,NA,0.029429,3
"271","KIF14",0.549443,0.058415,NA,NA,0.264609,0.678769,0.498002,NA,0,0.112386,0,0.444396,1,0.047546,3
"272","KIF21A",0.705356,0,0.295484,0.198587,0.832839,0.150573,0.195018,0.854379,0.589047,0.694278,0,0.249227,0.936243,0.031726,3
"273","LIFR",0.903747,0,NA,0.541255,0.252594,0.124995,0.19393,0.782943,0.774141,0.67675,0,0.619961,1,0.028041,3
"274","LRBA",0.914652,0.0012,0.50487,0.843056,0.703824,0.28583,0.238012,0.666284,0.5511,0.403445,0,0.9947,NA,0.031101,3
"275","LRP1B",0.272467,0,0.06858,0.021773,0.126405,0.995238,0.880837,0.350333,0.767575,0.927868,0.279297,0.126854,0.632999,0.000289,3
"276","LRRC7",0.201408,0.00867,0.545715,0.928304,0.265004,0.700778,0.532249,0.347468,0.561915,0.216207,0,0.445391,0.936243,0.026309,3
"277","MAGI2",0.543396,5e-06,0.500515,0.392947,0.443042,0.792708,0.836264,0.368296,0.536795,0.039448,0.524747,0.081232,0.880708,0.022968,3
"278","MAP2",0.384577,0,0.098521,0.014208,0.068403,0.385926,0.547014,NA,0.397782,0.566372,0.305652,0.627884,0.936243,0.025268,3
"279","MED13L",0.531085,4.3e-05,0.185236,0.802548,0.986563,0.99828,0.775605,0.560935,0.478867,0.007972,0.83599,0.762548,0.817488,0.013856,3
"280","MED14",0.462371,0.799847,0.459682,0.562814,0.318873,0.499997,0.324573,0.96367,0.318585,0.002475,0,0.275991,NA,0.025858,3
"281","MLL3",0.212338,1e-06,0.710296,0.034906,0.230206,0.919549,0.269394,NA,0.68454,0.563431,0.42748,0.974098,0.889448,0.001367,3
"282","MLL4",0.406295,0.372336,0.974277,0.224074,0.001083,0.227136,0.517788,NA,0.607513,0.015824,0.953754,0.765756,NA,0.006699,3
"283","MORC4",0.684918,0,0.348927,0.349108,0.28849,0.582221,0.550874,0.602255,0.5856,0.443852,0,0.98314,NA,0.034006,3
"284","MSH4",0.543779,0.072811,0.005163,2.8e-05,0.079616,0.230198,0.858286,NA,0.899993,0.456245,0.385927,0.262092,NA,0.018942,3
"285","MUC17",0.455512,0.004779,0.118722,0.000833,0.424536,0.133075,0.57845,0.194263,0.53366,0.220773,0.39013,0.184281,0.640317,0.004309,3
"286","MUC6",0.599943,0,0.267711,0.56717,0.504678,0.003189,0.992402,0.785501,0.272242,0.347225,2e-06,0.63146,0.957126,0.420044,3
"287","MYO16",0.730067,0.000493,0.73756,0.308203,0.00694,0.489444,0.127574,0.782943,0.21383,0.385888,0.27642,0.892856,NA,0.009228,3
"288","MYO18B",0.763883,0.01548,0.820356,0.6952,0.220831,0.598087,0.499988,0.76041,0.577287,0.063404,0.090852,0.706181,0.000639,0.007586,3
"289","MYO9A",0.328277,7.3e-05,0.083067,0.942494,0.621954,0.831004,0.464175,0.695161,0.673962,0.809601,0,0.22335,0.957126,0.034663,3
"290","MYT1L",0.944327,0.749639,0.858289,0.099185,0.16352,0.106222,0.891218,5.8e-05,0.047845,0.19748,0.947775,0.152263,0.936243,0.018621,3
"291","NAV3",0.814721,0.332289,0.013242,0.06115,0.664604,0.462203,0.298826,0.752071,0.261966,0.765831,0,0.688935,0.909784,0.035088,3
"292","NBEA",0.767225,0,0.005594,0.103737,0.801018,0.83326,0.812551,0.553115,0.861354,0.883814,0.35337,0.63606,NA,0.001706,3
"293","NRK",0.118705,0.690596,0.231427,0.123044,0.008292,0.970217,0.801664,0.106901,0.648456,0.257584,0,0.917972,NA,0.028038,3
"294","NRXN1",0.690423,0.180765,0.70613,0.328055,0.825966,0.816893,0.482676,0.646242,0,0.873942,0,0.051569,0.255122,0.04167,3
"295","NWD1",0.425467,0.000508,0.490888,0.66677,0.334098,0.06433,0.243232,0.606355,0.761543,0.451692,0,0.844304,0.909784,0.02446,3
"296","NYNRIN",0.623887,0.78341,0.79053,0.668801,0.089682,0.197301,0.899979,0.861276,0,0.629627,0,0.82342,0.596989,0.039605,3
"297","ODZ1",0.235752,7e-05,0.329968,0.710496,0.941819,0.117489,0.262308,NA,0.606845,0.001845,0.982819,0.059161,0.610406,0.040614,3
"298","OTOF",0.990199,0.64156,0.235861,0.674724,0.644018,0.239145,0.130302,0.668405,0,0.053016,0,0.913374,NA,0.041245,3
"299","PCDHA7",0.594734,0.792671,0.677353,0.78122,0.529537,0.875565,0.843067,0.889555,0,0.059302,0,0.945933,NA,0.046321,3
"300","PCDHGB1",0.794564,0.022053,0.91188,0.351475,0.528134,0.354953,0.478466,NA,0.628827,0.057491,0,0.437909,NA,0.025704,3
"301","PCLO",0.479353,0,0.132278,0.016823,0.469607,0.217945,0.277257,0.9364,0.692028,0.17772,0.96079,0.956713,0.770519,0.00051,3
"302","PDZD2",0.991077,0.781823,0.485741,0.43995,0.387671,0.603821,0.915959,0.616417,0,0.672041,0,0.3971,0.62824,0.043791,3
"303","PEG3",0.179278,0.439897,0.321224,0.004006,0.591652,0.274795,0.182341,5e-06,0.879913,0.174449,0.77026,0.789358,0.67227,0.013835,3
"304","PHF3",0.509329,0,0.118977,0.656427,0.654221,0.964703,0.594715,0.407268,0.406084,0.907552,0,0.546498,1,0.030747,3
"305","PIK3CA",0.038276,0,0.129587,0.207846,0.783065,0.759262,0.607172,0.242481,0.999601,0.085908,0.539225,0.718515,0.677884,0.001046,3
"306","PLCE1",0.783866,0.017934,0.276085,0.615681,0.000577,0.106653,0.152539,0.79228,0.466184,0.777936,0.402666,0.379523,0.864866,0.008001,3
"307","PLEKHH2",0.216068,0.173281,NA,NA,0.858297,0.649339,0.50547,NA,0,0.569047,0,0.830028,NA,0.045011,3
"308","PLXNA2",0.109319,0.364029,0.55625,0.17537,0.525559,0.675479,0.528631,0.96367,0.023204,0.076109,0,0.425186,0.957126,0.029228,3
"309","PPL",0.82042,0.001269,0.178198,0.242749,0.908977,0.916664,0.232691,0.782943,0.158737,0.592385,0,0.185742,0.957126,0.033467,3
"310","PPP1R3A",0.500993,0.001845,0.27265,0.019195,0.052653,0.709859,0.886255,0.110237,0.805649,0.576852,0.305714,0.965699,NA,0.021827,3
"311","PRPF8",0.345426,0.368977,0.936919,0.946229,0.058357,0.066479,0.432568,0.805582,0,0.818113,0,0.861825,0.62824,0.041333,3
"312","PTPRK",0.823501,0.184727,0.645427,0.708165,0.653125,0.106086,0.202036,NA,0,0.179463,0,0.57219,0.936243,0.040794,3
"313","RASA1",0.951678,0.757877,0.549831,0.652054,0.58704,0.080891,0.19797,0.394634,0,0.966474,0,0.058583,0.936243,0.044444,3
"314","RIF1",0.237584,0.001057,0.53031,0.317455,0.041504,0.526238,0.577742,0.719852,0.330434,0.50326,0.452315,0.995695,0.907185,0.022272,3
"315","SACS",0.739798,8e-06,0.82936,0.119137,0.712524,0.370419,0.444812,0.000343,0.538478,0.594755,0.752245,0.583561,0.907185,0.000286,3
"316","SAMD9",0.230427,5.4e-05,0.155345,0.284655,0.516077,0.225928,0.591853,NA,0.698081,0.285464,0,0.755443,NA,0.030712,3
"317","SCN1A",0.781715,0,0.852683,0.872664,0.799829,0.146448,0.174813,0.336926,0.223851,0.065147,0,0.31812,0.889626,0.031754,3
"318","SCN8A",0.322283,0.000459,0.190379,0.02576,0.600904,0.877603,0.399108,NA,0.579075,0.767384,0.416638,0.986712,NA,0.021039,3
"319","SETX",0.684514,0.149127,4.8e-05,0.29292,0.921262,0.58843,0.674145,0.047641,0.127415,0.605119,0.733724,0.801398,0.86226,0.012973,3
"320","SIPA1L1",0.454162,0.000289,0.69349,0.25624,0.808651,0.090592,0.571834,0.024617,0.133865,0.063437,0.185481,0.572554,0.957126,0.020314,3
"321","SORL1",0.652818,0.740925,0.229765,0.761278,0.052768,0.457537,0.115177,0.625088,0,0.154004,0,0.051968,0.936243,0.044122,3
"322","SPEF2",0.130451,4e-05,0.419452,0.470382,0.090534,0.390171,0.592156,0.465057,0.070218,0.043331,0.691003,0.028768,0.790682,0.051113,3
"323","SPEN",0.020956,0.02534,0.924548,0.638466,0.140172,0.405713,0.472947,0.76041,0.220645,0.443727,0.731555,0.872683,NA,0.011562,3
"324","SVEP1",0.319298,0.256628,0.901124,0.453125,0.535509,0.79098,0.750042,0.003511,0.83552,0.000333,0.442107,0.425235,0.62824,0.011034,3
"325","SYCP2",0.65533,0.037931,0.243295,0.028587,0.126497,0.394428,0.811608,NA,0.931963,0.627882,0.865197,0.528656,NA,0.013446,3
"326","TAF1",0.261678,0.005515,0.2269,0.082178,0.009361,0.88416,0.810664,0.68228,0.920447,0.849755,0.629477,0.143967,0.936243,0.007842,3
"327","TAF1L",0.628022,0.091828,0.033328,0.00915,0.741604,0.841722,0.153783,0.056966,0.32015,0.708284,NA,0.985609,0.92315,0.023807,3
"328","TG",0.769568,0.012077,0.534865,0.979531,0.851296,0.092762,0.241365,0.282154,0.879983,0.013054,0.420522,0.581115,0.07979,0.003814,3
"329","TMEM131",0.583741,0.000222,0.085567,0.430724,0.537149,0.987783,0.796661,0.807585,0.589395,0.086384,0,0.83113,NA,0.031547,3
"330","TMEM132D",0.696382,0.53465,0.012779,0.018146,0.996476,0.201239,0.642162,0.464031,0.293699,0.787719,0.427255,0.007295,0.889626,0.093842,3
"331","TPR",0.853965,0.002676,0.759439,0.751406,0.344656,0.528507,0.887935,0.753035,0.521682,0.59434,0,0.751052,NA,0.027787,3
"332","TSHZ2",0.551011,9.8e-05,0.106665,0.019313,0.808342,0.264082,0.197945,0.491312,0.604152,0.265748,0.326735,0,0.936243,0.160432,3
"333","TSHZ3",0.128996,0.048124,0.486436,0.121647,0.965163,0.719245,0.335012,NA,0.238957,0.220913,0,0.059122,NA,0.025129,3
"334","USH2A",0.454729,0,0.577836,0.15767,0.67112,0.449091,0.54471,0.038687,0.051883,0.130013,0.395038,0.497233,0.62353,1.1e-05,3
"335","VHL",NA,0.915931,0.00259,0.003318,0.489576,0.007493,0.826651,0.935984,NA,0.390543,NA,0.520075,NA,0.85129,3
"336","VPRBP",0.22611,0.817971,NA,NA,0.746344,0.337143,0.002818,NA,0.358078,0.679257,0,0.704177,NA,0.032034,3
"337","VPS13A",0.814391,8e-06,0.931538,0.976769,0.247843,0.188079,0.045369,0.652281,0.10429,0.864774,0.177519,0.050001,0.936243,0.008189,3
"338","VWF",0.006731,0.225252,0.067719,0.024745,0.973296,0.325915,0.155123,0.5059,0.794772,0.230699,0.331759,0.015624,1,0.378326,3
"339","WDFY3",0.499089,0.095602,0.765441,0.534418,0.619263,0.452358,0.437697,0.012076,0.971681,0.554783,0.797822,0.010097,0.907185,0.012188,3
"340","WDR17",0.762284,0.077956,NA,0.330815,0.329064,0.397182,0.398476,0.646242,0,0.282024,0,0.449054,0.907185,0.046904,3
"341","WRN",0.285423,0,0.614171,0.305731,0.119482,0.104234,0.649411,0.948001,0.449564,0.569887,0.049368,0.034653,0.957126,0.144547,3
"342","ZDBF2",0.029553,0,0.835404,0.584156,0.927012,0.3444,0.565062,0.661403,0.594709,0.672602,0.397896,0.902069,0.677884,0.011961,3
"343","ZFAT",0.013261,0.004319,0.099064,0.169222,0.140291,0.507617,0.704632,0.665186,0.48566,0.747424,NA,0.019365,1,0.056404,3
"344","ZMYM3",0.596876,0.035171,0.544119,0.681534,0.101976,0.060158,0.109178,0.662349,0.854436,0.725967,0,0.511204,NA,0.03104,3
"345","ABCA12",0.938416,0.000193,0.863075,0.745694,0.580774,0.486936,0.520989,0.721334,0.292164,0.929237,0.76685,0.199833,0.936243,0.006472,2
"346","ABCB4",0.332082,0.691417,0.714425,0.555837,0.242721,0.401464,0.415861,0.103748,0.453572,0.407492,0,0.809191,0.817488,0.024923,2
"347","ABCB5",0.85435,0,0.657588,0.774563,0.761116,0.305226,0.131849,0.777377,0.261888,0.887357,0.844802,0.208449,0.907185,0.021219,2
"348","ADAMTS12",0.071825,1.7e-05,0.138546,0.317316,0.54417,0.08707,0.083392,0.497096,0.539743,0.004596,0.13323,0.873232,NA,0.11307,2
"349","AHNAK",0.519549,0.131143,0.235755,0.094194,0.206897,0.762508,0.177043,0.308392,0.594516,0.077253,0.022715,0.649783,0.349693,0.00623,2
"350","ANK2",0.570697,0.00268,0.629919,0.075962,0.98136,0.463118,0.900439,0.843016,0.479339,0.069516,0.791579,0.374232,0.957126,0.034368,2
"351","ANKRD30A",0.796812,0.395481,0.614378,0.764887,0.262984,0.619442,0.789036,0.808296,0.020055,0.825811,0.666872,0.697118,0.632999,0.023546,2
"352","APOB",0.264528,0,0.187774,0.079064,0.66525,0.777491,0.529978,0.871667,0.929821,0.182004,0.256796,0.96562,0.872277,0.002376,2
"353","ARID1A",0.257472,0.359686,0.227053,0.023021,0.697536,0.39035,0.327098,0.186682,0.799495,0.940101,0.566347,0.70071,NA,0.000416,2
"354","ASH1L",0.380736,0.633975,0.582073,0.671912,0.009044,0.189197,0.210043,NA,0.19507,0.621853,0.593738,0.86578,0.817488,0.011975,2
"355","ATP10A",0.041219,0.197406,0.177995,0.051683,0.858816,0.639502,0.53693,0.854608,0.674,0.132695,0.959485,0.226145,0.957126,0.015756,2
"356","ATP7A",0.727754,0.652481,0.860002,0.294329,0.971927,0.010346,0.159969,NA,0.339549,0.09907,NA,0.610756,0.632999,0.021893,2
"357","BAP1",0.431034,0.894506,0.372762,0.502237,0.137516,0.002147,0.037222,NA,0.262904,0.843659,0.921179,0.494125,1,0.951184,2
"358","BRWD3",0.668466,0.66502,0.819894,0.276043,0.091061,0.433435,0.884788,0.935984,0.689375,0.533935,0,0.521186,NA,0.033262,2
"359","CACNA2D3",0.24847,0.498904,0.743756,0.889283,0.433856,NA,NA,0.782943,0.538399,0.746304,0,0.57781,0.936243,0.035865,2
"360","CASC3",0.692507,0.876768,NA,0.62359,0.434131,0.247342,NA,0.012212,0.559023,NA,0.741354,0.044383,1,0.522644,2
"361","CCDC132",0.660255,0.857465,0.603215,0.129931,0.089787,0.52417,0.922887,NA,0.172667,0.728189,0,0.770546,0.936243,0.030251,2
"362","CCDC88A",0.021681,0.487663,0.65349,0.814851,0.681167,0.982808,0.055119,0.663821,0.228145,0.582435,0.228816,0.906537,0.957126,0.011521,2
"363","CHD8",0.17848,0.799779,0.80917,0.577227,0.614035,0.31325,0.628142,0.563445,0.874085,0.032765,0.679096,0.729695,NA,0.019771,2
