"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"171" "ITPR1" "0.007" "0.017" "0.007" "0.024" "0.049" "0.008" "0.01" "0.057" "0.004" "0.011" "0.011" "0.006" "0.014" "0.004"
"172" "DNAH10" "0.009" "0.023" "0.011" "0.043" "0.108" "0.008" "0.012" "0.064" "0.015" "0.03" "0.04" "0.01" "0.05" "0.006"
"173" "AHNAK" "0.011" "0.025" "0.021" "0.029" "0.086" "0.017" "0.022" "0.051" "0.017" "0.053" "0.073" "0.004" "0.06" "0.008"
"174" "MLL4" "0.007" "0.013" "0.01" "0.021" "0.045" "0.013" "0.01" "0.06" "0.009" "0.017" "0.006" "0" "0.02" "0"
"175" "DMXL2" "0.002" "0.019" "0.015" "0.029" "0.056" "0" "0.012" "0.038" "0.011" "0.013" "0.017" "0.004" "0.02" "0.004"
"176" "LOC100287226" "0" "0" "0" "0" "0" "0" "0" "0.04" "0" "0" "0" "0" "0" "0"
"177" "RIMS1" "0.002" "0.007" "0.013" "0.027" "0.083" "0.002" "0.015" "0.033" "0.013" "0.013" "0.017" "0.002" "0.034" "0.002"
"178" "CHD7" "0.004" "0.016" "0.015" "0.021" "0.08" "0.005" "0.007" "0.044" "0.019" "0.027" "0.031" "0.002" "0.048" "0.002"
"179" "ANKRD30B" "0.005" "0.013" "0.005" "0" "0.025" "0.007" "0.002" "0.047" "0.002" "0.015" "0.027" "0.004" "0" "0.002"
"180" "MYO18B" "0.005" "0.019" "0.011" "0.022" "0.07" "0.007" "0.012" "0.053" "0.007" "0.03" "0.048" "0.002" "0.044" "0.004"
"181" "UNC80" "0" "0.014" "0.01" "0.005" "0.024" "0" "0.002" "0.038" "0.006" "0" "0.013" "0" "0.01" "0.002"
"182" "FBN2" "0.014" "0.011" "0.015" "0.037" "0.078" "0.018" "0.015" "0.053" "0.024" "0.036" "0.075" "0.008" "0.054" "0.008"
"183" "TAF1" "0.009" "0.015" "0.009" "0.017" "0.035" "0.012" "0.008" "0.066" "0.009" "0.017" "0.01" "0.006" "0.026" "0.002"
"184" "LYST" "0.009" "0.024" "0.017" "0.029" "0.072" "0.015" "0.01" "0.049" "0.024" "0.025" "0.038" "0.002" "0.03" "0.004"
"185" "PLCE1" "0.005" "0.016" "0.009" "0.014" "0.054" "0.003" "0.005" "0.051" "0.007" "0.028" "0.029" "0.006" "0.03" "0.004"
"186" "SCN2A" "0.005" "0.021" "0.009" "0.03" "0.061" "0.002" "0.01" "0.04" "0.007" "0.013" "0.033" "0.008" "0.038" "0.002"
"187" "VPS13A" "0.003" "0.016" "0.01" "0.025" "0.061" "0.003" "0.003" "0.042" "0.011" "0.023" "0.015" "0.002" "0.034" "0.002"
"188" "MGAM" "0.009" "0.028" "0.011" "0.022" "0.057" "0.013" "0.01" "0.051" "0.007" "0.034" "0.038" "0.004" "0.024" "0.002"
"189" "KIAA0947" "0.002" "0.018" "0.007" "0.016" "0.056" "0.003" "0.003" "0.042" "0.006" "0.021" "0.029" "0" "0.028" "0.004"
"190" "TLN2" "0.005" "0.014" "0.01" "0.025" "0.07" "0.007" "0.008" "0.031" "0.011" "0.015" "0.011" "0.004" "0.034" "0.004"
"191" "MYO16" "0.004" "0.015" "0.009" "0.033" "0.067" "0.005" "0.012" "0.044" "0.009" "0.032" "0.033" "0.002" "0.032" "0"
"192" "TRIO" "0.003" "0.017" "0.01" "0.021" "0.073" "0.003" "0.005" "0.046" "0.004" "0.025" "0.031" "0.002" "0.022" "0.006"
"193" "CUL9" "0.005" "0.009" "0.014" "0.024" "0.064" "0.007" "0.007" "0.046" "0.015" "0.013" "0.019" "0.002" "0.026" "0.002"
"194" "ODZ4" "0.005" "0.019" "0.006" "0.025" "0.053" "0.008" "0.005" "0.06" "0.011" "0.009" "0.04" "0" "0.03" "0.002"
"195" "RP1" "0.009" "0.021" "0.011" "0.027" "0.086" "0.01" "0.01" "0.044" "0.013" "0.051" "0.033" "0.008" "0.067" "0.004"
"196" "COL12A1" "0.005" "0.019" "0.01" "0.04" "0.111" "0.008" "0.01" "0.035" "0.006" "0.015" "0.038" "0.002" "0.048" "0.004"
"197" "KIF20B" "0.003" "0.014" "0.009" "0.025" "0.035" "0.003" "0.002" "0.042" "0.013" "0.011" "0.011" "0.002" "0.01" "0"
"198" "AFF2" "0.014" "0.021" "0.004" "0.04" "0.07" "0.017" "0.007" "0.036" "0.006" "0.021" "0.056" "0.012" "0.014" "0.002"
"199" "FCGBP" "0.017" "0.047" "0.024" "0.038" "0.073" "0.025" "0.014" "0.044" "0.015" "0.055" "0.05" "0.008" "0.03" "0.006"
"200" "ASXL3" "0.003" "0.019" "0.012" "0.013" "0.073" "0.002" "0.007" "0.049" "0.013" "0.038" "0.084" "0.004" "0.038" "0"
"201" "TACC2" "0.002" "0.015" "0.003" "0.021" "0.072" "0.002" "0.01" "0.031" "0.006" "0.015" "0.033" "0.002" "0.01" "0.008"
"202" "PTPRZ1" "0.005" "0.012" "0.016" "0.024" "0.062" "0.005" "0.012" "0.04" "0.013" "0.019" "0.052" "0.004" "0.02" "0.008"
"203" "MYH2" "0.016" "0.013" "0.01" "0.014" "0.07" "0.018" "0.01" "0.036" "0.013" "0.028" "0.071" "0.014" "0.06" "0.004"
"204" "NALCN" "0.005" "0.017" "0.01" "0.038" "0.099" "0.008" "0.014" "0.04" "0.013" "0.027" "0.069" "0" "0.04" "0.004"
"205" "SVEP1" "0.011" "0.021" "0.016" "0.022" "0.072" "0.01" "0.014" "0.051" "0.017" "0.042" "0.044" "0.012" "0.022" "0.004"
"206" "PCDH17" "0.004" "0.005" "0.002" "0.037" "0.091" "0.005" "0.005" "0.046" "0.002" "0.028" "0.052" "0.002" "0.036" "0"
"207" "SPTBN1" "0.005" "0.01" "0.01" "0.017" "0.04" "0.007" "0.005" "0.047" "0.009" "0.023" "0.015" "0.004" "0.02" "0.002"
"208" "C2orf16" "0.003" "0.015" "0.004" "0.013" "0.024" "0.005" "0.007" "0.035" "0.004" "0.021" "0.019" "0" "0.032" "0"
"209" "CCDC88A" "0.004" "0.012" "0.006" "0.024" "0.049" "0.003" "0.005" "0.033" "0.004" "0.013" "0.019" "0.004" "0.016" "0.002"
"210" "DCHS1" "0.006" "0.015" "0.012" "0.024" "0.072" "0.007" "0.008" "0.058" "0.009" "0.023" "0.04" "0.006" "0.034" "0.002"
"211" "ASH1L" "0.001" "0.017" "0.012" "0.027" "0.064" "0.002" "0.005" "0.047" "0.011" "0.008" "0.031" "0" "0.018" "0.006"
"212" "ZNF462" "0.004" "0.016" "0.009" "0.025" "0.059" "0.005" "0.008" "0.047" "0.007" "0.015" "0.011" "0.002" "0.024" "0.002"
"213" "ARAP2" "0.003" "0.009" "0.003" "0.022" "0.043" "0.005" "0.002" "0.031" "0.002" "0.008" "0.027" "0" "0.02" "0.002"
"214" "MYH11" "0.009" "0.02" "0.011" "0.04" "0.057" "0.012" "0.014" "0.046" "0.013" "0.021" "0.038" "0.006" "0.024" "0"
"215" "PTPN13" "0.002" "0.012" "0.01" "0.016" "0.056" "0.003" "0.007" "0.042" "0.013" "0.017" "0.013" "0" "0.018" "0.002"
"216" "DOCK1" "0.002" "0.008" "0.007" "0.013" "0.045" "0.003" "0.007" "0.047" "0.004" "0.015" "0.013" "0" "0.012" "0"
"217" "SETX" "0.004" "0.015" "0.011" "0.03" "0.054" "0.002" "0.003" "0.038" "0.011" "0.017" "0.019" "0.006" "0.022" "0.004"
"218" "ITPR2" "0.007" "0.019" "0.013" "0.014" "0.059" "0.008" "0.008" "0.044" "0.013" "0.021" "0.029" "0.006" "0.032" "0.01"
"219" "SYCP2" "0.005" "0.009" "0.004" "0.016" "0.046" "0.008" "0.005" "0.036" "0.002" "0.008" "0.006" "0" "0.012" "0"
"220" "CCNB3" "0.004" "0.014" "0.004" "0.011" "0.037" "0.003" "0.007" "0.036" "0.007" "0.017" "0.027" "0.004" "0.03" "0"
"221" "WDFY4" "0" "0.016" "0.007" "0" "0.03" "0" "0" "0.047" "0.007" "0" "0" "0" "0" "0"
"222" "DMBT1" "0.007" "0.01" "0.011" "0.016" "0.048" "0.01" "0.005" "0.031" "0.007" "0.023" "0.042" "0.004" "0.028" "0.002"
"223" "EYS" "0.001" "0.021" "0.01" "0.016" "0.078" "0.002" "0.002" "0.053" "0.015" "0" "0.044" "0" "0.026" "0"
"224" "PEG3" "0.007" "0.018" "0.014" "0.025" "0.08" "0.01" "0.014" "0.033" "0.017" "0.045" "0.059" "0.004" "0.058" "0.004"
"225" "MED13L" "0.002" "0.012" "0.005" "0.025" "0.048" "0.002" "0.005" "0.051" "0.006" "0.015" "0.027" "0.002" "0.018" "0.002"
"226" "HIVEP1" "0.005" "0.013" "0.007" "0.011" "0.059" "0.007" "0.007" "0.049" "0.009" "0.013" "0.023" "0.002" "0.03" "0.002"
"227" "CDH10" "0.001" "0.007" "0.002" "0.03" "0.07" "0" "0.01" "0.044" "0.002" "0.047" "0.073" "0.002" "0.069" "0.002"
"228" "DOPEY2" "0" "0.008" "0.007" "0.01" "0.051" "0" "0.003" "0.04" "0.009" "0.011" "0.017" "0" "0.016" "0"
"229" "MYOM2" "0.006" "0.014" "0.009" "0.024" "0.059" "0.005" "0.008" "0.038" "0.007" "0.015" "0.031" "0.008" "0.024" "0.006"
"230" "ABCB1" "0.013" "0.017" "0.004" "0.017" "0.053" "0.017" "0.007" "0.047" "0.007" "0.025" "0.034" "0.008" "0.028" "0"
"231" "DOCK10" "0.003" "0.015" "0.013" "0.016" "0.053" "0.005" "0.005" "0.044" "0.017" "0.019" "0.025" "0" "0.032" "0.002"
"232" "MLL" "0.004" "0.02" "0.009" "0.025" "0.061" "0.007" "0.008" "0.036" "0.013" "0.027" "0.019" "0" "0.02" "0.014"
"233" "ALMS1" "0.008" "0.018" "0.015" "0.022" "0.073" "0.007" "0.01" "0.047" "0.019" "0.028" "0.048" "0.01" "0.05" "0.004"
"234" "MYO10" "0.005" "0.015" "0.011" "0.017" "0.043" "0.007" "0.003" "0.04" "0.011" "0.021" "0.011" "0.004" "0.016" "0.004"
"235" "PIKFYVE" "0.005" "0.013" "0.005" "0.025" "0.038" "0.005" "0.012" "0.047" "0.006" "0.015" "0.023" "0.004" "0.028" "0"
"236" "HEATR7B2" "0.013" "0.021" "0.006" "0.013" "0.029" "0.024" "0.01" "0.042" "0.009" "0.036" "0.042" "0" "0.063" "0.002"
"237" "FRAS1" "0.023" "0.021" "0.009" "0.022" "0.059" "0.034" "0.008" "0.04" "0.009" "0.025" "0.044" "0.012" "0.024" "0.002"
"238" "CNTNAP2" "0.017" "0.017" "0.007" "0.027" "0.089" "0.027" "0.014" "0.046" "0.009" "0.036" "0.061" "0.006" "0.067" "0"
"239" "LAMA1" "0.017" "0.021" "0.015" "0.048" "0.116" "0.029" "0.012" "0.046" "0.019" "0.036" "0.05" "0.004" "0.04" "0"
"240" "ATP10A" "0.007" "0.015" "0.009" "0.045" "0.068" "0.008" "0.003" "0.044" "0.002" "0.032" "0.01" "0.006" "0.046" "0.002"
"241" "SYTL2" "0.003" "0.007" "0.007" "0.016" "0.035" "0.002" "0.005" "0.027" "0.009" "0.008" "0.006" "0.004" "0.02" "0.002"
"242" "GPR158" "0.001" "0.006" "0.005" "0.019" "0.064" "0.002" "0.007" "0.042" "0.006" "0.023" "0.056" "0" "0.038" "0.002"
"243" "LAMB4" "0.01" "0.014" "0.006" "0.022" "0.043" "0.013" "0.007" "0.031" "0.006" "0.021" "0.038" "0.006" "0.014" "0.002"
"244" "AKAP6" "0.005" "0.015" "0.006" "0.024" "0.059" "0.005" "0.008" "0.046" "0.009" "0.023" "0.046" "0.004" "0.032" "0.002"
"245" "BDP1" "0.002" "0.015" "0.013" "0.008" "0.053" "0.003" "0" "0.036" "0.011" "0.009" "0.021" "0" "0.026" "0.01"
"246" "PRKDC" "0.005" "0.021" "0.011" "0.029" "0.091" "0.007" "0.015" "0.051" "0.011" "0.034" "0.036" "0.004" "0.028" "0.01"
"247" "DOCK2" "0.007" "0.011" "0.012" "0.043" "0.084" "0.012" "0.01" "0.04" "0.011" "0.032" "0.052" "0.002" "0.046" "0.004"
"248" "MAP3K5" "0.002" "0.012" "0.007" "0.011" "0.025" "0.002" "0.003" "0.035" "0.011" "0.015" "0.01" "0.002" "0.014" "0"
"249" "CDH8" "0.005" "0.013" "0.013" "0.029" "0.053" "0.007" "0.01" "0.04" "0.015" "0.021" "0.033" "0.004" "0.042" "0.01"
"250" "DENND4C" "0.004" "0.008" "0.004" "0.011" "0.029" "0.005" "0.002" "0.036" "0.004" "0.006" "0.011" "0.002" "0.01" "0.002"
"251" "FNDC1" "0.005" "0.015" "0.005" "0.027" "0.043" "0.008" "0.005" "0.046" "0.006" "0.017" "0.015" "0.002" "0.02" "0"
"252" "CNTNAP4" "0.003" "0.007" "0.01" "0.022" "0.04" "0.005" "0.008" "0.036" "0.013" "0.017" "0.029" "0" "0.032" "0.002"
"253" "MAP3K1" "0.009" "0.066" "0.009" "0.011" "0.033" "0.013" "0.002" "0.04" "0.007" "0.009" "0.008" "0.004" "0.01" "0.004"
"254" "ASCC3" "0.005" "0.008" "0.009" "0.025" "0.049" "0.008" "0.008" "0.038" "0.011" "0.008" "0.023" "0" "0.024" "0.002"
"255" "ATP8A2" "0.005" "0.005" "0.009" "0.017" "0.037" "0.007" "0.008" "0.036" "0.011" "0.021" "0.029" "0.004" "0.026" "0"
"256" "TRRAP" "0.013" "0.015" "0.01" "0.032" "0.096" "0.017" "0.014" "0.064" "0.007" "0.025" "0.044" "0.008" "0.03" "0.004"
"257" "RNF213" "0.004" "0.031" "0.012" "0.029" "0.096" "0.003" "0.017" "0.058" "0.007" "0.042" "0.023" "0.004" "0.024" "0.004"
"258" "MYH7" "0.002" "0.018" "0.011" "0.022" "0.062" "0.003" "0.007" "0.053" "0.007" "0.025" "0.054" "0" "0.036" "0.002"
"259" "KIAA2026" "0.003" "0.012" "0.005" "0.016" "0.035" "0.005" "0.005" "0.038" "0.004" "0.017" "0.021" "0" "0.016" "0"
"260" "DNAH17" "0.007" "0.028" "0.016" "0" "0.046" "0.01" "0.014" "0.053" "0.017" "0.015" "0.011" "0.004" "0.012" "0.004"
"261" "BOD1L" "0.005" "0" "0.005" "0.027" "0.041" "0.008" "0.008" "0.038" "0.009" "0.017" "0.042" "0" "0.026" "0"
"262" "PCDH19" "0.011" "0.021" "0.004" "0.021" "0.045" "0.013" "0.003" "0.04" "0.004" "0.008" "0.021" "0.008" "0.018" "0"
"263" "COL4A6" "0.006" "0.014" "0.01" "0.019" "0.033" "0.008" "0.014" "0.04" "0.009" "0.006" "0.033" "0.004" "0.018" "0.002"
"264" "CIT" "0.005" "0.017" "0.009" "0.022" "0.041" "0.005" "0.01" "0.046" "0.007" "0.023" "0.021" "0.004" "0.01" "0.004"
"265" "CRB1" "0.002" "0.007" "0.009" "0.029" "0.057" "0.003" "0.012" "0.033" "0.013" "0.032" "0.046" "0" "0.05" "0.002"
"266" "SCN7A" "0.009" "0.017" "0.003" "0.024" "0.051" "0.013" "0.003" "0.038" "0.004" "0.015" "0.013" "0.004" "0.032" "0"
"267" "ARFGEF2" "0.005" "0.009" "0.011" "0.014" "0.056" "0.005" "0.002" "0.038" "0.009" "0.015" "0.019" "0.004" "0.008" "0.008"
"268" "PKD1L2" "0.01" "0.016" "0.009" "0.019" "0.035" "0.015" "0.007" "0.036" "0.007" "0.023" "0.025" "0.004" "0.024" "0.004"
"269" "AKAP9" "0.007" "0.023" "0.015" "0.033" "0.081" "0.008" "0.01" "0.055" "0.019" "0.04" "0.034" "0.006" "0.028" "0.004"
"270" "MED12" "0.009" "0.026" "0.005" "0.022" "0.038" "0.01" "0.003" "0.058" "0.007" "0.027" "0.033" "0.008" "0.012" "0"
"271" "MYT1L" "0.005" "0.017" "0.009" "0.016" "0.041" "0.005" "0.007" "0.038" "0.009" "0.017" "0.029" "0.006" "0.04" "0.002"
"272" "NCAM2" "0" "0.005" "0.007" "0.025" "0.064" "0" "0.007" "0.038" "0.004" "0.021" "0.017" "0" "0.03" "0.004"
"273" "DNAH12" "0.003" "0.02" "0.005" "0.006" "0.025" "0.005" "0.002" "0.033" "0.006" "0" "0.004" "0" "0.01" "0"
"274" "MSH4" "0.004" "0.005" "0.006" "0.01" "0.021" "0.007" "0.002" "0.029" "0.006" "0.015" "0.013" "0" "0.014" "0"
"275" "ATP1A2" "0.005" "0.007" "0.006" "0.011" "0.041" "0.003" "0.003" "0.04" "0.007" "0.013" "0.017" "0.006" "0.02" "0.008"
"276" "CHD8" "0.011" "0.016" "0.005" "0.01" "0.056" "0.015" "0.008" "0.038" "0.004" "0.015" "0.025" "0.006" "0.016" "0"
"277" "CHD6" "0.005" "0.024" "0.01" "0.03" "0.067" "0.007" "0.012" "0.042" "0.007" "0.019" "0.031" "0.002" "0.024" "0.004"
"278" "SIPA1L1" "0.004" "0.014" "0.006" "0.022" "0.068" "0.005" "0.005" "0.035" "0.007" "0.019" "0.025" "0.002" "0.02" "0.002"
"279" "UNC13C" "0.005" "0.017" "0.005" "0.032" "0.091" "0.008" "0.01" "0.038" "0.004" "0.044" "0.044" "0.002" "0.05" "0"
"280" "RGPD3" "0.006" "0.017" "0.009" "0" "0.013" "0.008" "0.002" "0.04" "0.004" "0.009" "0.021" "0.004" "0" "0"
"281" "SYNJ1" "0.001" "0.005" "0.007" "0.016" "0.027" "0" "0.007" "0.04" "0.011" "0.015" "0.01" "0.002" "0.014" "0"
"282" "CNTN6" "0.006" "0.013" "0.003" "0.029" "0.061" "0.012" "0.002" "0.04" "0.004" "0.021" "0.015" "0" "0.03" "0"
"283" "SCN8A" "0.002" "0.015" "0.003" "0.016" "0.04" "0.003" "0.012" "0.036" "0.002" "0.021" "0.023" "0" "0.014" "0"
"284" "ABCB5" "0.005" "0.007" "0.009" "0.014" "0.035" "0.008" "0.005" "0.035" "0.009" "0.013" "0.038" "0.002" "0.032" "0.002"
"285" "EPHA5" "0.006" "0.009" "0.004" "0.033" "0.072" "0.007" "0.005" "0.042" "0.007" "0.027" "0.056" "0.006" "0.036" "0"
"286" "PDZRN4" "0.003" "0.007" "0.005" "0.024" "0.037" "0.003" "0.005" "0.029" "0.002" "0.015" "0.017" "0.002" "0.024" "0.006"
"287" "PXDNL" "0.005" "0.015" "0.006" "0.024" "0.088" "0.007" "0.012" "0.042" "0.007" "0.027" "0.069" "0.002" "0.063" "0.002"
"288" "DNAH6" "0.002" "0.019" "0.01" "0.005" "0.024" "0.002" "0" "0.04" "0.009" "0" "0.01" "0.002" "0.01" "0.002"
"289" "F8" "0.008" "0.02" "0.01" "0.021" "0.049" "0.01" "0.008" "0.04" "0.006" "0.009" "0.046" "0.006" "0.024" "0.006"
"290" "ABCA8" "0.004" "0.015" "0.007" "0.021" "0.038" "0.003" "0.003" "0.04" "0.009" "0.011" "0.023" "0.004" "0.014" "0"
"291" "MTOR" "0.006" "0.022" "0.035" "0.03" "0.064" "0.007" "0.01" "0.051" "0.05" "0.008" "0.029" "0.006" "0.022" "0"
"292" "PPP1R3A" "0.01" "0.011" "0.005" "0.021" "0.057" "0.015" "0.017" "0.044" "0.007" "0.015" "0.033" "0.004" "0.034" "0"
"293" "ATP7A" "0.003" "0.013" "0.005" "0.011" "0.024" "0.005" "0" "0.031" "0.006" "0.015" "0.023" "0" "0.018" "0.002"
"294" "STARD9" "0" "0.017" "0.005" "0" "0.014" "0" "0" "0.038" "0.009" "0" "0" "0" "0" "0"
"295" "POLE" "0.002" "0.013" "0.006" "0.025" "0.059" "0.002" "0.005" "0.055" "0.007" "0.015" "0.023" "0.002" "0.02" "0.004"
"296" "MAP1A" "0.004" "0.024" "0.01" "0.01" "0.041" "0.007" "0.012" "0.033" "0.007" "0.032" "0.015" "0" "0.018" "0.006"
"297" "RIF1" "0.003" "0.014" "0.009" "0.024" "0.048" "0.002" "0.01" "0.038" "0.009" "0.017" "0.027" "0.004" "0.016" "0.002"
"298" "MIA3" "0.004" "0.013" "0.006" "0.014" "0.045" "0.002" "0.007" "0.029" "0.007" "0.017" "0.01" "0.006" "0.026" "0.002"
"299" "MAGI2" "0.005" "0.01" "0.009" "0.016" "0.067" "0.007" "0.01" "0.031" "0.009" "0.019" "0.021" "0.004" "0.03" "0.002"
"300" "PPFIA2" "0.002" "0.012" "0.007" "0.014" "0.056" "0.003" "0.005" "0.047" "0.004" "0.036" "0.025" "0" "0.038" "0"
"301" "RNF17" "0.01" "0.005" "0.006" "0.021" "0.048" "0.013" "0.002" "0.029" "0.007" "0.017" "0.023" "0.006" "0.014" "0"
"302" "BCOR" "0.02" "0.014" "0.009" "0.016" "0.045" "0.017" "0.003" "0.068" "0.006" "0.013" "0.013" "0.023" "0.018" "0.004"
"303" "SCN3A" "0.006" "0.015" "0.011" "0.022" "0.075" "0.008" "0.012" "0.04" "0.007" "0.028" "0.044" "0.004" "0.03" "0.006"
"304" "SDK1" "0.016" "0.018" "0.012" "0.051" "0.11" "0.025" "0.007" "0.047" "0.019" "0.03" "0.042" "0.006" "0.026" "0.002"
"305" "TAF1L" "0.012" "0.02" "0.007" "0.032" "0.053" "0.017" "0" "0.049" "0.006" "0.032" "0.065" "0.006" "0.044" "0.004"
"306" "PTPN14" "0.005" "0.007" "0.005" "0.014" "0.043" "0.005" "0.002" "0.042" "0.002" "0.019" "0.011" "0.004" "0.012" "0"
"307" "DOPEY1" "0.004" "0.011" "0.006" "0.019" "0.053" "0.005" "0.008" "0.035" "0.006" "0.032" "0.006" "0.002" "0.014" "0"
"308" "DOCK4" "0.005" "0.014" "0.014" "0.014" "0.054" "0.003" "0.003" "0.031" "0.007" "0.017" "0.027" "0.006" "0.024" "0.004"
"309" "AHCTF1" "0.001" "0.019" "0.004" "0.014" "0.04" "0.002" "0.008" "0.04" "0.004" "0.011" "0.015" "0" "0.02" "0"
"310" "NWD1" "0.005" "0.017" "0.003" "0.022" "0.043" "0.005" "0.003" "0.04" "0.004" "0.008" "0.01" "0.006" "0.016" "0.004"
"311" "FSIP2" "0.001" "0.015" "0.007" "0.01" "0.035" "0" "0" "0.029" "0.002" "0" "0" "0.002" "0" "0.002"
"312" "ABCB4" "0.01" "0.011" "0.005" "0.021" "0.049" "0.015" "0.007" "0.031" "0.002" "0.019" "0.021" "0.004" "0.024" "0.002"
"313" "CXorf57" "0.005" "0.008" "0" "0.008" "0.011" "0.008" "0.002" "0.035" "0" "0.008" "0.008" "0.002" "0.008" "0"
"314" "PLCG2" "0.01" "0.008" "0.004" "0.014" "0.038" "0.013" "0.003" "0.035" "0.004" "0.013" "0.015" "0.006" "0.01" "0"
"315" "TSHZ3" "0.003" "0.014" "0.015" "0.032" "0.081" "0.005" "0.008" "0.049" "0.011" "0.009" "0.069" "0" "0.028" "0"
"316" "GAPVD1" "0.004" "0.008" "0.007" "0.013" "0.029" "0.003" "0.003" "0.033" "0.006" "0.008" "0.006" "0.004" "0.01" "0.002"
"317" "PTCH1" "0.001" "0.013" "0.011" "0.027" "0.062" "0.002" "0.012" "0.04" "0.017" "0.023" "0.023" "0" "0.008" "0.004"
"318" "SLITRK3" "0.002" "0.009" "0.002" "0.021" "0.033" "0" "0.01" "0.046" "0.004" "0.028" "0.034" "0.004" "0.063" "0.006"
"319" "C11orf41" "0.002" "0" "0.006" "0.019" "0.025" "0.003" "0.005" "0.035" "0.011" "0.015" "0.027" "0" "0.028" "0"
"320" "PCDHGB1" "0.003" "0.011" "0.002" "0.014" "0.027" "0.005" "0.002" "0.038" "0.002" "0.013" "0.019" "0" "0.014" "0"
"321" "DNHD1" "0.002" "0.018" "0.016" "0.014" "0.04" "0.002" "0.003" "0.058" "0.015" "0.013" "0.011" "0.002" "0.002" "0.002"
"322" "MED14" "0.003" "0.009" "0.005" "0.01" "0.027" "0.002" "0" "0.036" "0.007" "0.008" "0.01" "0.004" "0.01" "0"
"323" "YSK4" "0.006" "0.008" "0.001" "0.021" "0.013" "0.012" "0.012" "0.029" "0.002" "0.025" "0.025" "0" "0.022" "0.004"
"324" "HECW2" "0.002" "0.015" "0.005" "0.025" "0.046" "0.002" "0.008" "0.033" "0.006" "0.021" "0.019" "0.002" "0.026" "0"
"325" "DIAPH3" "0.002" "0.008" "0.006" "0.011" "0.03" "0.003" "0.003" "0.035" "0.006" "0.021" "0.015" "0" "0.014" "0"
"326" "LRRC7" "0.006" "0.011" "0.005" "0.024" "0.067" "0.008" "0.015" "0.044" "0.009" "0.023" "0.054" "0.004" "0.067" "0.002"
"327" "MAGI1" "0.003" "0.013" "0.007" "0.021" "0.035" "0.003" "0.003" "0.035" "0.006" "0.006" "0.015" "0.002" "0.016" "0.002"
"328" "GRIN2B" "0.007" "0.015" "0.011" "0.013" "0.054" "0.008" "0.008" "0.042" "0.013" "0.038" "0.048" "0.006" "0.044" "0.006"
"329" "MYH8" "0.014" "0.016" "0.003" "0.024" "0.045" "0.013" "0.008" "0.04" "0" "0.038" "0.052" "0.016" "0.044" "0.004"
"330" "DYNC1H1" "0.004" "0.026" "0.013" "0.033" "0.078" "0.003" "0.014" "0.06" "0.015" "0.028" "0.036" "0.004" "0.052" "0.008"
"331" "MYH3" "0.004" "0.008" "0.006" "0.017" "0.056" "0.003" "0.007" "0.033" "0.007" "0.019" "0.04" "0.004" "0.02" "0.004"
"332" "JMJD1C" "0.004" "0.01" "0.012" "0.013" "0.059" "0.005" "0.008" "0.04" "0.009" "0.023" "0.015" "0.002" "0.016" "0.01"
"333" "CAD" "0.006" "0.014" "0.01" "0.025" "0.056" "0.008" "0.008" "0.04" "0.009" "0.008" "0.017" "0.004" "0.026" "0"
"334" "ADAMTS3" "0.003" "0.009" "0.004" "0.024" "0.035" "0.003" "0.002" "0.029" "0.002" "0.017" "0.015" "0.002" "0.026" "0.004"
"335" "SBF2" "0" "0.01" "0.005" "0.011" "0.03" "0" "0.005" "0.035" "0.004" "0.017" "0.01" "0" "0.01" "0.004"
"336" "POLQ" "0.005" "0.013" "0.013" "0.017" "0.076" "0.007" "0.007" "0.044" "0.013" "0.03" "0.034" "0.004" "0.036" "0.002"
"337" "ABCA10" "0.005" "0.013" "0.007" "0.019" "0.041" "0.008" "0.003" "0.029" "0.007" "0.023" "0.029" "0.002" "0.024" "0"
"338" "STXBP5L" "0.008" "0.005" "0.003" "0.011" "0.037" "0.012" "0.012" "0.027" "0.004" "0.015" "0.025" "0.004" "0.018" "0.006"
"339" "NID1" "0.002" "0.014" "0.003" "0.029" "0.051" "0.002" "0" "0.038" "0.004" "0.015" "0.031" "0.002" "0.008" "0"
"340" "DIAPH2" "0.005" "0.009" "0.002" "0.017" "0.03" "0.007" "0.007" "0.033" "0.004" "0.013" "0.015" "0.004" "0.012" "0"
"341" "HFM1" "0.007" "0.005" "0.006" "0.017" "0.038" "0.01" "0.002" "0.029" "0.006" "0.028" "0.021" "0.004" "0.018" "0.002"
"342" "CUX1" "0.002" "0.007" "0.011" "0.016" "0.065" "0.003" "0.012" "0.046" "0.013" "0.034" "0.017" "0" "0.022" "0.006"
"343" "TPR" "0.005" "0.017" "0.012" "0.024" "0.04" "0.005" "0.003" "0.046" "0.011" "0.009" "0.033" "0.006" "0.042" "0"
"344" "FRY" "0.005" "0.011" "0.009" "0.024" "0.062" "0.003" "0.008" "0.044" "0.009" "0.028" "0.029" "0.006" "0.03" "0.006"
"345" "NRK" "0.008" "0.014" "0.004" "0.017" "0.045" "0.012" "0.003" "0.042" "0.006" "0.019" "0.021" "0.004" "0.04" "0"
"346" "LIFR" "0.001" "0.009" "0.006" "0.035" "0.03" "0" "0.003" "0.033" "0.004" "0.019" "0.01" "0.002" "0.006" "0.002"
