"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"40" "APC" "0.003" "0.018" "0.009" "0.262" "0.099" "0.003" "0.017" "0.055" "0.011" "0.027" "0.019" "0.002" "0.018" "0.004"
"41" "ADAMTS12" "0.011" "0.01" "0.015" "0.033" "0.072" "0.015" "0.007" "0.038" "0.017" "0.032" "0.084" "0.006" "0.062" "0"
"42" "OBSCN" "0.03" "0.044" "0.026" "0.032" "0.17" "0.037" "0.012" "0.08" "0.009" "0.036" "0.067" "0.021" "0.054" "0.012"
"43" "ABCA13" "0.012" "0.036" "0.026" "0.037" "0.094" "0.013" "0.008" "0.066" "0.03" "0.042" "0.067" "0.01" "0.062" "0"
"44" "FAT2" "0.021" "0.022" "0.014" "0.052" "0.116" "0.022" "0.014" "0.053" "0.015" "0.038" "0.054" "0.019" "0.034" "0.002"
"45" "DST" "0.012" "0.036" "0.037" "0.033" "0.124" "0.013" "0.025" "0.075" "0.041" "0.045" "0.057" "0.01" "0.036" "0.004"
"46" "ODZ1" "0.005" "0.027" "0.007" "0.041" "0.062" "0.008" "0.017" "0.06" "0.013" "0.034" "0.056" "0" "0.056" "0.004"
"47" "XIRP2" "0.011" "0.03" "0.02" "0.03" "0.135" "0.018" "0.015" "0.057" "0.02" "0.055" "0.107" "0.002" "0.089" "0.002"
"48" "TECTA" "0.005" "0.015" "0.006" "0.043" "0.08" "0.01" "0.007" "0.051" "0.009" "0.027" "0.031" "0" "0.038" "0.004"
"49" "CMYA5" "0.005" "0.023" "0.011" "0.03" "0.097" "0.007" "0.01" "0.046" "0.007" "0.03" "0.034" "0.002" "0.026" "0"
"50" "ABCA12" "0.004" "0.016" "0.016" "0.041" "0.086" "0.003" "0.012" "0.053" "0.013" "0.025" "0.04" "0.004" "0.024" "0.002"
"51" "AHNAK2" "0.026" "0.028" "0.05" "0.046" "0.118" "0.037" "0.03" "0.071" "0.037" "0.047" "0.086" "0.014" "0.069" "0.008"
"52" "ATM" "0.004" "0.022" "0.017" "0.04" "0.091" "0.007" "0.007" "0.057" "0.022" "0.021" "0.044" "0" "0.016" "0.01"
"53" "DNAH2" "0.016" "0.023" "0.017" "0.049" "0.076" "0.024" "0.012" "0.057" "0.022" "0.038" "0.027" "0.008" "0.038" "0.006"
"54" "DNAH11" "0.016" "0.026" "0.019" "0.033" "0.111" "0.022" "0.017" "0.06" "0.017" "0.057" "0.052" "0.01" "0.087" "0"
"55" "LRP2" "0.025" "0.035" "0.029" "0.064" "0.115" "0.032" "0.025" "0.069" "0.028" "0.064" "0.063" "0.017" "0.081" "0.002"
"56" "DNAH5" "0.024" "0.022" "0.017" "0.064" "0.162" "0.034" "0.024" "0.073" "0.019" "0.098" "0.056" "0.014" "0.081" "0.008"
"57" "KALRN" "0.005" "0.015" "0.009" "0.037" "0.081" "0.005" "0.012" "0.053" "0.007" "0.04" "0.027" "0.004" "0.044" "0"
"58" "CSMD2" "0.006" "0.029" "0.016" "0.051" "0.111" "0.007" "0.014" "0.06" "0.013" "0.025" "0.075" "0.006" "0.075" "0.016"
"59" "VCAN" "0.006" "0.021" "0.018" "0.041" "0.099" "0.007" "0.015" "0.051" "0.015" "0.028" "0.05" "0.006" "0.042" "0.002"
"60" "DNAH8" "0.02" "0.019" "0.02" "0.037" "0.108" "0.027" "0.01" "0.051" "0.017" "0.057" "0.059" "0.012" "0.063" "0.01"
"61" "FREM2" "0.005" "0.017" "0.018" "0.043" "0.088" "0.005" "0.014" "0.049" "0.017" "0.034" "0.025" "0.004" "0.03" "0"
"62" "DCHS2" "0.014" "0.023" "0.015" "0.054" "0.104" "0.02" "0.007" "0.046" "0.015" "0.047" "0.048" "0.008" "0.038" "0"
"63" "RELN" "0.02" "0.024" "0.009" "0.041" "0.104" "0.032" "0.015" "0.046" "0.007" "0.059" "0.08" "0.006" "0.056" "0.004"
"64" "ANK2" "0.009" "0.029" "0.018" "0.056" "0.105" "0.013" "0.012" "0.042" "0.017" "0.049" "0.08" "0.004" "0.069" "0.006"
"65" "SYNE2" "0.01" "0.037" "0.02" "0.027" "0.116" "0.013" "0.015" "0.053" "0.02" "0.051" "0.057" "0.006" "0.05" "0.01"
"66" "DYNC2H1" "0.005" "0.021" "0.018" "0.024" "0.096" "0.005" "0.008" "0.055" "0.019" "0.019" "0.033" "0.004" "0.014" "0.004"
"67" "PKHD1L1" "0.01" "0.028" "0.022" "0.025" "0.102" "0.012" "0.019" "0.053" "0.03" "0.078" "0.057" "0.008" "0.087" "0.006"
"68" "GRIN2A" "0.014" "0.016" "0.006" "0.046" "0.056" "0.022" "0.005" "0.04" "0.007" "0.034" "0.061" "0.004" "0.038" "0.002"
"69" "TG" "0.012" "0.021" "0.017" "0.037" "0.104" "0.015" "0.017" "0.057" "0.013" "0.025" "0.04" "0.008" "0.034" "0.03"
"70" "RYR1" "0.015" "0.036" "0.027" "0.051" "0.124" "0.018" "0.02" "0.077" "0.024" "0.042" "0.086" "0.012" "0.06" "0.012"
"71" "DMD" "0.015" "0.041" "0.014" "0.059" "0.116" "0.02" "0.017" "0.077" "0.013" "0.066" "0.077" "0.01" "0.067" "0.002"
"72" "TNC" "0.005" "0.013" "0.013" "0.041" "0.073" "0.005" "0.002" "0.035" "0.013" "0.017" "0.015" "0.004" "0.03" "0"
"73" "KIAA1109" "0.008" "0.023" "0.017" "0.025" "0.091" "0.007" "0.014" "0.047" "0.006" "0.034" "0.042" "0.01" "0.052" "0.004"
"74" "TIAM1" "0.004" "0.008" "0.007" "0.033" "0.083" "0.003" "0.002" "0.047" "0.004" "0.015" "0.04" "0.004" "0.026" "0"
"75" "CUBN" "0.008" "0.026" "0.028" "0.052" "0.113" "0.008" "0.015" "0.047" "0.022" "0.064" "0.054" "0.008" "0.073" "0"
"76" "IDH1" "0.213" "0.005" "0.002" "0.006" "0.006" "0.025" "0" "0.011" "0.004" "0.004" "0.006" "0.429" "0.004" "0"
"77" "Unknown" "0.091" "0" "0.176" "0.003" "0" "0.17" "0" "0" "0.309" "0" "0.287" "0" "0.246" "0"
"78" "ATRX" "0.123" "0.019" "0.013" "0.011" "0.049" "0.032" "0.003" "0.049" "0.015" "0.036" "0.044" "0.229" "0.024" "0.002"
"79" "EGFR" "0.084" "0.008" "0.006" "0.021" "0.04" "0.131" "0.019" "0.016" "0.011" "0.032" "0.067" "0.029" "0.014" "0"
"80" "PTEN" "0.092" "0.032" "0.03" "0.013" "0.051" "0.15" "0.003" "0.294" "0.032" "0.009" "0.006" "0.025" "0.028" "0.004"
"81" "CIC" "0.051" "0.008" "0.006" "0.01" "0.061" "0.002" "0.008" "0.035" "0.006" "0.011" "0.006" "0.109" "0.008" "0"
"82" "NF1" "0.045" "0.028" "0.011" "0.014" "0.061" "0.055" "0.024" "0.047" "0.013" "0.015" "0.057" "0.033" "0.046" "0.004"
"83" "FAM135B" "0.005" "0.01" "0.01" "0.03" "0.078" "0.005" "0.015" "0.051" "0.007" "0.064" "0.073" "0.004" "0.091" "0.004"
"84" "MUC5B" "0.019" "0.052" "0.045" "0.025" "0.123" "0.027" "0.012" "0.099" "0.019" "0.055" "0.065" "0.01" "0.079" "0.014"
"85" "CTNND2" "0.005" "0.008" "0.005" "0.035" "0.073" "0.008" "0.008" "0.031" "0.007" "0.045" "0.052" "0" "0.046" "0.006"
"86" "C15orf2" "0.008" "0" "0" "0.032" "0.045" "0.015" "0.008" "0.042" "0" "0.044" "0.077" "0" "0.036" "0.002"
"87" "FRG1B" "0.017" "0.029" "0.08" "0" "0.013" "0.032" "0" "0.005" "0.006" "0" "0.056" "0" "0" "0"
"88" "MUC6" "0.003" "0.015" "0.052" "0.011" "0.091" "0.002" "0.007" "0.02" "0.034" "0.023" "0.027" "0.004" "0.038" "0.004"
"89" "VHL" "0.002" "0" "0.22" "0.002" "0.003" "0.002" "0" "0.005" "0.38" "0.002" "0" "0.002" "0.004" "0"
"90" "SETD2" "0.007" "0.017" "0.063" "0.024" "0.043" "0.008" "0.01" "0.042" "0.084" "0.015" "0.04" "0.006" "0.01" "0.002"
"91" "MUC4" "0.015" "0.066" "0.164" "0.011" "0.11" "0.024" "0.008" "0.068" "0.158" "0.032" "0.031" "0.006" "0.042" "0"
"92" "ADAM6" "0.004" "0.001" "0.022" "0.006" "0.005" "0.007" "0" "0" "0.039" "0" "0.021" "0" "0.161" "0"
"93" "BAP1" "0.001" "0.007" "0.045" "0.003" "0.024" "0.002" "0.003" "0.018" "0.069" "0.006" "0.006" "0" "0.004" "0.002"
"94" "PRUNE2" "0.005" "0.026" "0.018" "0.022" "0.062" "0.007" "0.01" "0.044" "0.02" "0.025" "0.052" "0.002" "0.034" "0.002"
"95" "LAMA2" "0.011" "0.017" "0.011" "0.033" "0.067" "0.013" "0.015" "0.058" "0.013" "0.057" "0.048" "0.008" "0.058" "0.004"
"96" "NELL1" "0.005" "0.011" "0.003" "0.019" "0.051" "0.007" "0.003" "0.02" "0.002" "0.013" "0.046" "0.004" "0.024" "0"
"97" "HCN1" "0.018" "0.006" "0.006" "0.022" "0.062" "0.027" "0.002" "0.04" "0.004" "0.025" "0.044" "0.008" "0.079" "0.004"
"98" "ZNF208" "0.01" "0.019" "0.01" "0.019" "0.068" "0.015" "0.01" "0.035" "0.006" "0.049" "0.048" "0.004" "0.058" "0"
"99" "ANKRD30A" "0.007" "0.01" "0.005" "0.014" "0.061" "0.005" "0.014" "0.049" "0.007" "0.028" "0.056" "0.01" "0.056" "0.004"
"100" "PKD1L1" "0.008" "0.02" "0.01" "0.029" "0.064" "0.008" "0.017" "0.053" "0.007" "0.023" "0.061" "0.008" "0.022" "0.004"
"101" "COL3A1" "0.006" "0.006" "0.005" "0.022" "0.035" "0.01" "0.007" "0.029" "0.006" "0.025" "0.054" "0.002" "0.026" "0.006"
"102" "ASTN1" "0.003" "0.022" "0.003" "0.032" "0.054" "0.002" "0.01" "0.024" "0.002" "0.023" "0.071" "0.004" "0.038" "0.004"
"103" "FAM47B" "0.008" "0.013" "0.004" "0.021" "0.022" "0.005" "0.007" "0.033" "0.004" "0.021" "0.05" "0.012" "0.016" "0"
"104" "ODZ2" "0.005" "0.015" "0.005" "0.035" "0.04" "0.01" "0.014" "0.044" "0.009" "0.028" "0.057" "0" "0.016" "0.008"
"105" "COL11A1" "0.004" "0.009" "0.011" "0.03" "0.102" "0.005" "0.01" "0.057" "0.013" "0.061" "0.082" "0.002" "0.081" "0.002"
"106" "CSMD3" "0.015" "0.025" "0.026" "0.062" "0.201" "0.018" "0.036" "0.095" "0.028" "0.134" "0.172" "0.012" "0.179" "0.01"
"107" "TSHZ2" "0.013" "0.01" "0.004" "0.025" "0.053" "0.018" "0.007" "0.026" "0.006" "0.006" "0.046" "0.006" "0.022" "0.002"
"108" "DSEL" "0.001" "0.006" "0.003" "0.027" "0.057" "0.002" "0.005" "0.031" "0.004" "0.013" "0.01" "0" "0.024" "0"
"109" "COL1A2" "0.015" "0.013" "0.009" "0.03" "0.059" "0.022" "0.003" "0.033" "0.011" "0.034" "0.029" "0.008" "0.036" "0.004"
"110" "MTR" "0" "0.006" "0" "0.011" "0.043" "0" "0.002" "0.027" "0" "0.008" "0.015" "0" "0.018" "0"
"111" "RIMBP2" "0.011" "0.014" "0.009" "0.029" "0.054" "0.015" "0.005" "0.04" "0.009" "0.027" "0.025" "0.006" "0.022" "0"
"112" "ZFP64" "0.003" "0.016" "0.004" "0.017" "0.045" "0.003" "0.003" "0.018" "0.004" "0.008" "0.01" "0.002" "0.016" "0"
"113" "ATRNL1" "0.003" "0.005" "0.007" "0.016" "0.057" "0.005" "0.01" "0.035" "0.009" "0.032" "0.05" "0" "0.026" "0"
"114" "KCNA5" "0.001" "0.01" "0" "0.011" "0.048" "0.002" "0.008" "0.036" "0" "0.004" "0.021" "0" "0.02" "0.004"
