"markers","BRCA","COAD","COADREAD","GBMLGG","KIPAN","KIRC","KIRP","LGG","LUAD","LUSC","OV","READ","UCEC"
"MMP17",0.000125264983407369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MORN3",0.000564017170282538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPL39",0.000230414927372302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSI1",0.000482322483798869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTF2",0.00029763830421925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NANOS1",0.000486017409275674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDUFS4",0.000436143153514146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEFH",0.000128339092066221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEURL2",0.000459163340836399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFKBIA",0.000149307100352103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFKBIE",0.000186420506733564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR1D2",3.52236781554494e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSMR",0.000535496318965767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAIP2",5.95852772596883e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAPSS1",0.000349525185710076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PFKFB1",7.65649662374246e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIGP",9.13035126838269e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PKP2",0.000130751243684446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PMAIP1",0.000273847117604697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP4R2",0.000565953070387537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTGES3",0.000219927181408397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASGRP1",0.00042519600632851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBM15B",0.00041734116879133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REEP5",0.000216276882284094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REPS1",0.000180160656266692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6KA1",3.84866942999551e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYBP",5.6452613889979e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
