"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"60" "DNAH8" "22" "21" "19" "23" "68" "16" "6" "28" "9" "30" "31" "6" "32" "5"
"61" "FREM2" "5" "19" "17" "27" "55" "3" "8" "27" "9" "18" "13" "2" "15" "0"
"62" "DCHS2" "16" "25" "14" "34" "65" "12" "4" "25" "8" "25" "25" "4" "19" "0"
"63" "RELN" "22" "26" "8" "26" "65" "19" "9" "25" "4" "31" "42" "3" "28" "2"
"64" "ANK2" "10" "32" "17" "35" "66" "8" "7" "23" "9" "26" "42" "2" "35" "3"
"65" "SYNE2" "11" "41" "19" "17" "73" "8" "9" "29" "11" "27" "30" "3" "25" "5"
"66" "DYNC2H1" "5" "23" "17" "15" "60" "3" "5" "30" "10" "10" "17" "2" "7" "2"
"67" "PKHD1L1" "11" "31" "21" "16" "64" "7" "11" "29" "16" "41" "30" "4" "44" "3"
"68" "GRIN2A" "15" "18" "6" "29" "35" "13" "3" "22" "4" "18" "32" "2" "19" "1"
"69" "TG" "13" "23" "16" "23" "65" "9" "10" "31" "7" "13" "21" "4" "17" "15"
"70" "RYR1" "17" "40" "25" "32" "78" "11" "12" "42" "13" "22" "45" "6" "30" "6"
"71" "DMD" "17" "45" "13" "37" "73" "12" "10" "42" "7" "35" "40" "5" "34" "1"
"72" "TNC" "5" "14" "12" "26" "46" "3" "1" "19" "7" "9" "8" "2" "15" "0"
"73" "KIAA1109" "9" "25" "16" "16" "57" "4" "8" "26" "3" "18" "22" "5" "26" "2"
"74" "TIAM1" "4" "9" "7" "21" "52" "2" "1" "26" "2" "8" "21" "2" "13" "0"
"75" "CUBN" "9" "29" "26" "33" "71" "5" "9" "26" "12" "34" "28" "4" "37" "0"
"76" "IDH1" "236" "5" "2" "4" "4" "15" "0" "6" "2" "2" "3" "221" "2" "0"
"77" "Unknown" "101" "0" "166" "2" "0" "101" "0" "0" "166" "0" "150" "0" "124" "0"
"78" "ATRX" "137" "21" "12" "7" "31" "19" "2" "27" "8" "19" "23" "118" "12" "1"
"79" "EGFR" "93" "9" "6" "13" "25" "78" "11" "9" "6" "17" "35" "15" "7" "0"
"80" "PTEN" "102" "35" "28" "8" "32" "89" "2" "161" "17" "5" "3" "13" "14" "2"
"81" "CIC" "57" "9" "6" "6" "38" "1" "5" "19" "3" "6" "3" "56" "4" "0"
"82" "NF1" "50" "31" "10" "9" "38" "33" "14" "26" "7" "8" "30" "17" "23" "2"
"83" "FAM135B" "5" "11" "9" "19" "49" "3" "9" "28" "4" "34" "38" "2" "46" "2"
"84" "MUC5B" "21" "57" "42" "16" "77" "16" "7" "54" "10" "29" "34" "5" "40" "7"
"85" "CTNND2" "5" "9" "5" "22" "46" "5" "5" "17" "4" "24" "27" "0" "23" "3"
"86" "C15orf2" "9" "0" "0" "20" "28" "9" "5" "23" "0" "23" "40" "0" "18" "1"
"87" "FRG1B" "19" "32" "75" "0" "8" "19" "0" "3" "3" "0" "29" "0" "0" "0"
"88" "MUC6" "3" "17" "49" "7" "57" "1" "4" "11" "18" "12" "14" "2" "19" "2"
"89" "VHL" "2" "0" "207" "1" "2" "1" "0" "3" "204" "1" "0" "1" "2" "0"
"90" "SETD2" "8" "19" "59" "15" "27" "5" "6" "23" "45" "8" "21" "3" "5" "1"
"91" "MUC4" "17" "73" "154" "7" "69" "14" "5" "37" "85" "17" "16" "3" "21" "0"
"92" "ADAM6" "4" "1" "21" "4" "3" "4" "0" "0" "21" "0" "11" "0" "81" "0"
"93" "BAP1" "1" "8" "42" "2" "15" "1" "2" "10" "37" "3" "3" "0" "2" "1"
"94" "PRUNE2" "5" "28" "17" "14" "39" "4" "6" "24" "11" "13" "27" "1" "17" "1"
"95" "LAMA2" "12" "19" "10" "21" "42" "8" "9" "32" "7" "30" "25" "4" "29" "2"
"96" "NELL1" "6" "12" "3" "12" "32" "4" "2" "11" "1" "7" "24" "2" "12" "0"
"97" "HCN1" "20" "7" "6" "14" "39" "16" "1" "22" "2" "13" "23" "4" "40" "2"
"98" "ZNF208" "11" "21" "9" "12" "43" "9" "6" "19" "3" "26" "25" "2" "29" "0"
"99" "ANKRD30A" "8" "11" "5" "9" "38" "3" "8" "27" "4" "15" "29" "5" "28" "2"
"100" "PKD1L1" "9" "22" "9" "18" "40" "5" "10" "29" "4" "12" "32" "4" "11" "2"
"101" "COL3A1" "7" "7" "5" "14" "22" "6" "4" "16" "3" "13" "28" "1" "13" "3"
"102" "ASTN1" "3" "24" "3" "20" "34" "1" "6" "13" "1" "12" "37" "2" "19" "2"
"103" "FAM47B" "9" "14" "4" "13" "14" "3" "4" "18" "2" "11" "26" "6" "8" "0"
"104" "ODZ2" "6" "17" "5" "22" "25" "6" "8" "24" "5" "15" "30" "0" "8" "4"
"105" "COL11A1" "4" "10" "10" "19" "64" "3" "6" "31" "7" "32" "43" "1" "41" "1"
"106" "CSMD3" "17" "27" "24" "39" "126" "11" "21" "52" "15" "71" "90" "6" "90" "5"
"107" "TSHZ2" "14" "11" "4" "16" "33" "11" "4" "14" "3" "3" "24" "3" "11" "1"
"108" "DSEL" "1" "7" "3" "17" "36" "1" "3" "17" "2" "7" "5" "0" "12" "0"
"109" "COL1A2" "17" "14" "8" "19" "37" "13" "2" "18" "6" "18" "15" "4" "18" "2"
"110" "MTR" "0" "7" "0" "7" "27" "0" "1" "15" "0" "4" "8" "0" "9" "0"
"111" "RIMBP2" "12" "15" "8" "18" "34" "9" "3" "22" "5" "14" "13" "3" "11" "0"
"112" "ZFP64" "3" "18" "4" "11" "28" "2" "2" "10" "2" "4" "5" "1" "8" "0"
"113" "ATRNL1" "3" "6" "7" "10" "36" "3" "6" "19" "5" "17" "26" "0" "13" "0"
"114" "KCNA5" "1" "11" "0" "7" "30" "1" "5" "20" "0" "2" "11" "0" "10" "2"
"115" "TMEM132D" "14" "19" "4" "26" "46" "12" "10" "20" "3" "20" "21" "2" "23" "2"
"116" "WDFY3" "9" "22" "17" "22" "49" "4" "3" "27" "11" "10" "24" "5" "13" "2"
"117" "EPHA3" "8" "8" "5" "21" "35" "4" "5" "16" "2" "15" "24" "4" "17" "0"
"118" "RANBP2" "3" "12" "17" "12" "42" "1" "0" "22" "8" "7" "15" "2" "15" "2"
"119" "TEP1" "7" "17" "11" "9" "35" "5" "7" "19" "3" "11" "17" "2" "9" "2"
"120" "MLL2" "6" "28" "39" "17" "67" "6" "2" "38" "19" "49" "24" "0" "41" "2"
"121" "KCNQ3" "1" "11" "3" "17" "29" "0" "2" "19" "2" "9" "5" "1" "11" "0"
"122" "VWF" "10" "17" "13" "19" "48" "9" "7" "21" "8" "7" "17" "1" "18" "2"
"123" "CHD3" "1" "17" "10" "10" "35" "1" "1" "31" "5" "11" "5" "0" "5" "3"
"124" "ASXL1" "3" "14" "6" "12" "30" "3" "1" "16" "4" "10" "5" "0" "12" "2"
"125" "ZFAT" "6" "6" "7" "8" "27" "4" "0" "21" "5" "8" "8" "2" "10" "1"
"126" "MBD6" "2" "8" "6" "8" "26" "1" "1" "16" "3" "7" "1" "1" "2" "2"
"127" "TUBGCP6" "1" "10" "8" "5" "29" "1" "3" "22" "5" "9" "5" "0" "6" "0"
"128" "B2M" "1" "3" "1" "5" "20" "1" "2" "3" "0" "4" "1" "0" "3" "0"
"129" "STAG1" "2" "13" "8" "13" "27" "1" "2" "16" "5" "4" "4" "1" "8" "1"
"130" "TRANK1" "5" "14" "7" "9" "34" "2" "1" "20" "4" "11" "12" "3" "10" "2"
"131" "SPEF2" "8" "11" "7" "11" "49" "4" "3" "19" "4" "10" "25" "4" "11" "2"
"132" "THBS2" "0" "5" "6" "18" "29" "0" "5" "21" "4" "8" "19" "0" "19" "1"
"133" "COL24A1" "7" "10" "7" "9" "28" "6" "3" "17" "7" "14" "12" "1" "18" "1"
"134" "WRN" "2" "11" "3" "9" "29" "1" "3" "9" "1" "4" "11" "1" "7" "1"
"135" "ABCC8" "1" "16" "2" "12" "34" "1" "1" "16" "1" "13" "8" "0" "12" "1"
"136" "PTPRJ" "5" "9" "9" "4" "34" "3" "1" "17" "4" "6" "6" "2" "5" "1"
"137" "ZNF676" "6" "8" "8" "5" "29" "5" "0" "10" "1" "14" "19" "1" "23" "0"
"138" "PTPRT" "7" "13" "9" "21" "55" "7" "8" "19" "5" "19" "25" "0" "24" "2"
"139" "KANK1" "3" "7" "3" "8" "32" "2" "2" "18" "2" "4" "4" "1" "4" "0"
"140" "CREBBP" "10" "17" "10" "22" "52" "7" "8" "26" "3" "20" "9" "3" "18" "1"
"141" "CASC3" "1" "3" "1" "3" "12" "0" "1" "9" "0" "1" "4" "1" "0" "2"
"142" "EP400" "9" "17" "22" "18" "51" "7" "3" "32" "10" "12" "11" "2" "16" "0"
"143" "LOC643677" "0" "0" "0" "0" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0"
"144" "MACF1" "14" "37" "23" "27" "78" "12" "12" "41" "14" "24" "24" "2" "40" "3"
"145" "DNAH7" "12" "25" "11" "17" "72" "8" "5" "31" "10" "27" "32" "4" "36" "1"
"146" "GPR112" "12" "21" "10" "20" "37" "6" "5" "35" "5" "17" "45" "6" "21" "2"
"147" "HUWE1" "10" "38" "18" "20" "53" "8" "12" "31" "10" "26" "18" "2" "21" "2"
"148" "ARID1A" "16" "30" "20" "24" "106" "4" "3" "85" "11" "14" "16" "12" "14" "0"
"149" "BIRC6" "4" "25" "23" "11" "47" "4" "7" "32" "10" "16" "17" "0" "29" "1"
"150" "ASPM" "8" "26" "12" "20" "43" "5" "4" "32" "6" "25" "37" "3" "19" "2"
"151" "MLL3" "14" "71" "44" "17" "56" "14" "9" "32" "18" "24" "48" "0" "34" "4"
"152" "ZFHX3" "7" "23" "20" "23" "55" "5" "5" "47" "8" "15" "15" "2" "16" "9"
"153" "NBEA" "6" "16" "11" "15" "67" "5" "9" "36" "5" "12" "19" "1" "16" "0"
"154" "HERC2" "9" "32" "21" "19" "61" "6" "7" "36" "10" "21" "21" "3" "31" "0"
"155" "MKI67" "10" "15" "14" "20" "44" "6" "5" "36" "7" "13" "29" "4" "13" "1"
"156" "LRRK2" "4" "16" "13" "21" "68" "4" "11" "26" "6" "20" "12" "0" "27" "1"
"157" "PCDH15" "6" "18" "15" "24" "87" "5" "8" "33" "9" "28" "49" "1" "33" "2"
"158" "VPS13C" "9" "19" "16" "16" "39" "3" "4" "20" "8" "16" "20" "6" "12" "1"
"159" "ZNF292" "8" "18" "8" "18" "39" "3" "4" "29" "5" "8" "13" "5" "11" "1"
"160" "BAI3" "2" "12" "5" "22" "59" "1" "8" "21" "3" "14" "30" "1" "26" "2"
"161" "BRCA2" "7" "17" "14" "13" "41" "5" "11" "25" "8" "12" "12" "2" "16" "3"
"162" "MUC17" "40" "39" "24" "19" "69" "30" "19" "33" "11" "39" "62" "10" "42" "8"
"163" "USP9X" "7" "20" "13" "12" "31" "3" "1" "31" "6" "15" "11" "4" "9" "5"
"164" "ANK3" "8" "23" "23" "20" "63" "4" "7" "35" "13" "12" "20" "4" "16" "2"
"165" "SI" "9" "19" "9" "11" "48" "5" "10" "27" "6" "36" "43" "4" "36" "1"
"166" "OTOGL" "1" "21" "3" "0" "8" "0" "0" "25" "0" "0" "0" "1" "0" "0"
"167" "UTRN" "8" "27" "8" "20" "47" "4" "4" "29" "6" "14" "17" "4" "16" "1"
"168" "F5" "13" "20" "9" "14" "23" "9" "3" "21" "5" "13" "22" "4" "20" "0"
"169" "PDE4DIP" "6" "21" "21" "15" "53" "6" "8" "23" "14" "15" "22" "0" "30" "3"
"170" "HERC1" "8" "25" "18" "11" "46" "4" "6" "34" "10" "15" "10" "4" "13" "1"
"171" "ITPR1" "8" "19" "7" "15" "31" "5" "6" "31" "2" "6" "6" "3" "7" "2"
"172" "DNAH10" "10" "25" "10" "27" "68" "5" "7" "35" "8" "16" "21" "5" "25" "3"
"173" "AHNAK" "12" "27" "20" "18" "54" "10" "13" "28" "9" "28" "38" "2" "30" "4"
"174" "MLL4" "8" "14" "9" "13" "28" "8" "6" "33" "5" "9" "3" "0" "10" "0"
"175" "DMXL2" "2" "21" "14" "18" "35" "0" "7" "21" "6" "7" "9" "2" "10" "2"
"176" "LOC100287226" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0"
"177" "RIMS1" "2" "8" "12" "17" "52" "1" "9" "18" "7" "7" "9" "1" "17" "1"
"178" "CHD7" "4" "18" "14" "13" "50" "3" "4" "24" "10" "14" "16" "1" "24" "1"
"179" "ANKRD30B" "6" "14" "5" "0" "16" "4" "1" "26" "1" "8" "14" "2" "0" "1"
"180" "MYO18B" "5" "21" "10" "14" "44" "4" "7" "29" "4" "16" "25" "1" "22" "2"
"181" "UNC80" "0" "15" "9" "3" "15" "0" "1" "21" "3" "0" "7" "0" "5" "1"
"182" "FBN2" "15" "12" "14" "23" "49" "11" "9" "29" "13" "19" "39" "4" "27" "4"
"183" "TAF1" "10" "16" "8" "11" "22" "7" "5" "36" "5" "9" "5" "3" "13" "1"
"184" "LYST" "10" "26" "16" "18" "45" "9" "6" "27" "13" "13" "20" "1" "15" "2"
"185" "PLCE1" "5" "18" "8" "9" "34" "2" "3" "28" "4" "15" "15" "3" "15" "2"
"186" "SCN2A" "5" "23" "8" "19" "38" "1" "6" "22" "4" "7" "17" "4" "19" "1"
"187" "VPS13A" "3" "18" "9" "16" "38" "2" "2" "23" "6" "12" "8" "1" "17" "1"
"188" "MGAM" "10" "31" "10" "14" "36" "8" "6" "28" "4" "18" "20" "2" "12" "1"
"189" "KIAA0947" "2" "20" "7" "10" "35" "2" "2" "23" "3" "11" "15" "0" "14" "2"
"190" "TLN2" "6" "15" "9" "16" "44" "4" "5" "17" "6" "8" "6" "2" "17" "2"
"191" "MYO16" "4" "16" "8" "21" "42" "3" "7" "24" "5" "17" "17" "1" "16" "0"
"192" "TRIO" "3" "19" "9" "13" "46" "2" "3" "25" "2" "13" "16" "1" "11" "3"
"193" "CUL9" "5" "10" "13" "15" "40" "4" "4" "25" "8" "7" "10" "1" "13" "1"
"194" "ODZ4" "5" "21" "6" "16" "33" "5" "3" "33" "6" "5" "21" "0" "15" "1"
"195" "RP1" "10" "23" "10" "17" "54" "6" "6" "24" "7" "27" "17" "4" "34" "2"
"196" "COL12A1" "6" "21" "9" "25" "70" "5" "6" "19" "3" "8" "20" "1" "24" "2"
"197" "KIF20B" "3" "15" "8" "16" "22" "2" "1" "23" "7" "6" "6" "1" "5" "0"
"198" "AFF2" "16" "23" "4" "25" "44" "10" "4" "20" "3" "11" "29" "6" "7" "1"
"199" "FCGBP" "19" "52" "23" "24" "46" "15" "8" "24" "8" "29" "26" "4" "15" "3"
"200" "ASXL3" "3" "21" "11" "8" "46" "1" "4" "27" "7" "20" "44" "2" "19" "0"
"201" "TACC2" "2" "16" "3" "13" "45" "1" "6" "17" "3" "8" "17" "1" "5" "4"
"202" "PTPRZ1" "5" "13" "15" "15" "39" "3" "7" "22" "7" "10" "27" "2" "10" "4"
"203" "MYH2" "18" "14" "9" "9" "44" "11" "6" "20" "7" "15" "37" "7" "30" "2"
"204" "NALCN" "5" "19" "9" "24" "62" "5" "8" "22" "7" "14" "36" "0" "20" "2"
"205" "SVEP1" "12" "23" "15" "14" "45" "6" "8" "28" "9" "22" "23" "6" "11" "2"
"206" "PCDH17" "4" "6" "2" "23" "57" "3" "3" "25" "1" "15" "27" "1" "18" "0"
"207" "SPTBN1" "6" "11" "9" "11" "25" "4" "3" "26" "5" "12" "8" "2" "10" "1"
"208" "C2orf16" "3" "17" "4" "8" "15" "3" "4" "19" "2" "11" "10" "0" "16" "0"
"209" "CCDC88A" "4" "13" "6" "15" "31" "2" "3" "18" "2" "7" "10" "2" "8" "1"
"210" "DCHS1" "7" "16" "11" "15" "45" "4" "5" "32" "5" "12" "21" "3" "17" "1"
"211" "ASH1L" "1" "19" "11" "17" "40" "1" "3" "26" "6" "4" "16" "0" "9" "3"
"212" "ZNF462" "4" "18" "8" "16" "37" "3" "5" "26" "4" "8" "6" "1" "12" "1"
"213" "ARAP2" "3" "10" "3" "14" "27" "3" "1" "17" "1" "4" "14" "0" "10" "1"
"214" "MYH11" "10" "22" "10" "25" "36" "7" "8" "25" "7" "11" "20" "3" "12" "0"
"215" "PTPN13" "2" "13" "9" "10" "35" "2" "4" "23" "7" "9" "7" "0" "9" "1"
"216" "DOCK1" "2" "9" "7" "8" "28" "2" "4" "26" "2" "8" "7" "0" "6" "0"
"217" "SETX" "4" "16" "10" "19" "34" "1" "2" "21" "6" "9" "10" "3" "11" "2"
"218" "ITPR2" "8" "21" "12" "9" "37" "5" "5" "24" "7" "11" "15" "3" "16" "5"
"219" "SYCP2" "5" "10" "4" "10" "29" "5" "3" "20" "1" "4" "3" "0" "6" "0"
