"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"262" "PCDH19" "12" "23" "4" "13" "28" "8" "2" "22" "2" "4" "11" "4" "9" "0"
"263" "COL4A6" "7" "15" "9" "12" "21" "5" "8" "22" "5" "3" "17" "2" "9" "1"
"264" "CIT" "5" "19" "8" "14" "26" "3" "6" "25" "4" "12" "11" "2" "5" "2"
"265" "CRB1" "2" "8" "8" "18" "36" "2" "7" "18" "7" "17" "24" "0" "25" "1"
"266" "SCN7A" "10" "19" "3" "15" "32" "8" "2" "21" "2" "8" "7" "2" "16" "0"
"267" "ARFGEF2" "5" "10" "10" "9" "35" "3" "1" "21" "5" "8" "10" "2" "4" "4"
"268" "PKD1L2" "11" "18" "8" "12" "22" "9" "4" "20" "4" "12" "13" "2" "12" "2"
"269" "AKAP9" "8" "25" "14" "21" "51" "5" "6" "30" "10" "21" "18" "3" "14" "2"
"270" "MED12" "10" "28" "5" "14" "24" "6" "2" "32" "4" "14" "17" "4" "6" "0"
"271" "MYT1L" "6" "19" "8" "10" "26" "3" "4" "21" "5" "9" "15" "3" "20" "1"
"272" "NCAM2" "0" "5" "7" "16" "40" "0" "4" "21" "2" "11" "9" "0" "15" "2"
"273" "DNAH12" "3" "22" "5" "4" "16" "3" "1" "18" "3" "0" "2" "0" "5" "0"
"274" "MSH4" "4" "6" "6" "6" "13" "4" "1" "16" "3" "8" "7" "0" "7" "0"
"275" "ATP1A2" "5" "8" "6" "7" "26" "2" "2" "22" "4" "7" "9" "3" "10" "4"
"276" "CHD8" "12" "18" "5" "6" "35" "9" "5" "21" "2" "8" "13" "3" "8" "0"
"277" "CHD6" "5" "26" "9" "19" "42" "4" "7" "23" "4" "10" "16" "1" "12" "2"
"278" "SIPA1L1" "4" "15" "6" "14" "43" "3" "3" "19" "4" "10" "13" "1" "10" "1"
"279" "UNC13C" "6" "19" "5" "20" "57" "5" "6" "21" "2" "23" "23" "1" "25" "0"
"280" "RGPD3" "7" "19" "8" "0" "8" "5" "1" "22" "2" "5" "11" "2" "0" "0"
"281" "SYNJ1" "1" "6" "7" "10" "17" "0" "4" "22" "6" "8" "5" "1" "7" "0"
"282" "CNTN6" "7" "14" "3" "18" "38" "7" "1" "22" "2" "11" "8" "0" "15" "0"
"283" "SCN8A" "2" "16" "3" "10" "25" "2" "7" "20" "1" "11" "12" "0" "7" "0"
"284" "ABCB5" "6" "8" "8" "9" "22" "5" "3" "19" "5" "7" "20" "1" "16" "1"
"285" "EPHA5" "7" "10" "4" "21" "45" "4" "3" "23" "4" "14" "29" "3" "18" "0"
"286" "PDZRN4" "3" "8" "5" "15" "23" "2" "3" "16" "1" "8" "9" "1" "12" "3"
"287" "PXDNL" "5" "16" "6" "15" "55" "4" "7" "23" "4" "14" "36" "1" "32" "1"
"288" "DNAH6" "2" "21" "9" "3" "15" "1" "0" "22" "5" "0" "5" "1" "5" "1"
"289" "F8" "9" "22" "9" "13" "31" "6" "5" "22" "3" "5" "24" "3" "12" "3"
"290" "ABCA8" "4" "16" "7" "13" "24" "2" "2" "22" "5" "6" "12" "2" "7" "0"
"291" "MTOR" "7" "24" "33" "19" "40" "4" "6" "28" "27" "4" "15" "3" "11" "0"
"292" "PPP1R3A" "11" "12" "5" "13" "36" "9" "10" "24" "4" "8" "17" "2" "17" "0"
"293" "ATP7A" "3" "14" "5" "7" "15" "3" "0" "17" "3" "8" "12" "0" "9" "1"
"294" "STARD9" "0" "19" "5" "0" "9" "0" "0" "21" "5" "0" "0" "0" "0" "0"
"295" "POLE" "2" "14" "6" "16" "37" "1" "3" "30" "4" "8" "12" "1" "10" "2"
"296" "MAP1A" "4" "26" "9" "6" "26" "4" "7" "18" "4" "17" "8" "0" "9" "3"
"297" "RIF1" "3" "15" "8" "15" "30" "1" "6" "21" "5" "9" "14" "2" "8" "1"
"298" "MIA3" "4" "14" "6" "9" "28" "1" "4" "16" "4" "9" "5" "3" "13" "1"
"299" "MAGI2" "6" "11" "8" "10" "42" "4" "6" "17" "5" "10" "11" "2" "15" "1"
"300" "PPFIA2" "2" "13" "7" "9" "35" "2" "3" "26" "2" "19" "13" "0" "19" "0"
"301" "RNF17" "11" "6" "6" "13" "30" "8" "1" "16" "4" "9" "12" "3" "7" "0"
"302" "BCOR" "22" "15" "8" "10" "28" "10" "2" "37" "3" "7" "7" "12" "9" "2"
"303" "SCN3A" "7" "16" "10" "14" "47" "5" "7" "22" "4" "15" "23" "2" "15" "3"
"304" "SDK1" "18" "20" "11" "32" "69" "15" "4" "26" "10" "16" "22" "3" "13" "1"
"305" "TAF1L" "13" "22" "7" "20" "33" "10" "0" "27" "3" "17" "34" "3" "22" "2"
"306" "PTPN14" "5" "8" "5" "9" "27" "3" "1" "23" "1" "10" "6" "2" "6" "0"
"307" "DOPEY1" "4" "12" "6" "12" "33" "3" "5" "19" "3" "17" "3" "1" "7" "0"
"308" "DOCK4" "5" "15" "13" "9" "34" "2" "2" "17" "4" "9" "14" "3" "12" "2"
"309" "AHCTF1" "1" "21" "4" "9" "25" "1" "5" "22" "2" "6" "8" "0" "10" "0"
"310" "NWD1" "6" "19" "3" "14" "27" "3" "2" "22" "2" "4" "5" "3" "8" "2"
"311" "FSIP2" "1" "16" "7" "6" "22" "0" "0" "16" "1" "0" "0" "1" "0" "1"
"312" "ABCB4" "11" "12" "5" "13" "31" "9" "4" "17" "1" "10" "11" "2" "12" "1"
"313" "CXorf57" "6" "9" "0" "5" "7" "5" "1" "19" "0" "4" "4" "1" "4" "0"
"314" "PLCG2" "11" "9" "4" "9" "24" "8" "2" "19" "2" "7" "8" "3" "5" "0"
"315" "TSHZ3" "3" "15" "14" "20" "51" "3" "5" "27" "6" "5" "36" "0" "14" "0"
"316" "GAPVD1" "4" "9" "7" "8" "18" "2" "2" "18" "3" "4" "3" "2" "5" "1"
"317" "PTCH1" "1" "14" "10" "17" "39" "1" "7" "22" "9" "12" "12" "0" "4" "2"
"318" "SLITRK3" "2" "10" "2" "13" "21" "0" "6" "25" "2" "15" "18" "2" "32" "3"
"319" "C11orf41" "2" "0" "6" "12" "16" "2" "3" "19" "6" "8" "14" "0" "14" "0"
"320" "PCDHGB1" "3" "12" "2" "9" "17" "3" "1" "21" "1" "7" "10" "0" "7" "0"
"321" "DNHD1" "2" "20" "15" "9" "25" "1" "2" "32" "8" "7" "6" "1" "1" "1"
"322" "MED14" "3" "10" "5" "6" "17" "1" "0" "20" "4" "4" "5" "2" "5" "0"
"323" "YSK4" "7" "9" "1" "13" "8" "7" "7" "16" "1" "13" "13" "0" "11" "2"
"324" "HECW2" "2" "16" "5" "16" "29" "1" "5" "18" "3" "11" "10" "1" "13" "0"
"325" "DIAPH3" "2" "9" "6" "7" "19" "2" "2" "19" "3" "11" "8" "0" "7" "0"
"326" "LRRC7" "7" "12" "5" "15" "42" "5" "9" "24" "5" "12" "28" "2" "34" "1"
"327" "MAGI1" "3" "14" "7" "13" "22" "2" "2" "19" "3" "3" "8" "1" "8" "1"
"328" "GRIN2B" "8" "17" "10" "8" "34" "5" "5" "23" "7" "20" "25" "3" "22" "3"
"329" "MYH8" "16" "18" "3" "15" "28" "8" "5" "22" "0" "20" "27" "8" "22" "2"
"330" "DYNC1H1" "4" "29" "12" "21" "49" "2" "8" "33" "8" "15" "19" "2" "26" "4"
"331" "MYH3" "4" "9" "6" "11" "35" "2" "4" "18" "4" "10" "21" "2" "10" "2"
"332" "JMJD1C" "4" "11" "11" "8" "37" "3" "5" "22" "5" "12" "8" "1" "8" "5"
"333" "CAD" "7" "15" "9" "16" "35" "5" "5" "22" "5" "4" "9" "2" "13" "0"
"334" "ADAMTS3" "3" "10" "4" "15" "22" "2" "1" "16" "1" "9" "8" "1" "13" "2"
"335" "SBF2" "0" "11" "5" "7" "19" "0" "3" "19" "2" "9" "5" "0" "5" "2"
"336" "POLQ" "6" "14" "12" "11" "48" "4" "4" "24" "7" "16" "18" "2" "18" "1"
"337" "ABCA10" "6" "14" "7" "12" "26" "5" "2" "16" "4" "12" "15" "1" "12" "0"
"338" "STXBP5L" "9" "5" "3" "7" "23" "7" "7" "15" "2" "8" "13" "2" "9" "3"
"339" "NID1" "2" "15" "3" "18" "32" "1" "0" "21" "2" "8" "16" "1" "4" "0"
"340" "DIAPH2" "6" "10" "2" "11" "19" "4" "4" "18" "2" "7" "8" "2" "6" "0"
"341" "HFM1" "8" "6" "6" "11" "24" "6" "1" "16" "3" "15" "11" "2" "9" "1"
"342" "CUX1" "2" "8" "10" "10" "41" "2" "7" "25" "7" "18" "9" "0" "11" "3"
"343" "TPR" "6" "19" "11" "15" "25" "3" "2" "25" "6" "5" "17" "3" "21" "0"
"344" "FRY" "5" "12" "8" "15" "39" "2" "5" "24" "5" "15" "15" "3" "15" "3"
"345" "NRK" "9" "15" "4" "11" "28" "7" "2" "23" "3" "10" "11" "2" "20" "0"
"346" "LIFR" "1" "10" "6" "22" "19" "0" "2" "18" "2" "10" "5" "1" "3" "1"
"347" "KAT6A" "1" "10" "4" "0" "11" "0" "0" "16" "0" "0" "0" "1" "0" "0"
"348" "CACNA1S" "12" "13" "19" "14" "28" "9" "6" "16" "12" "9" "13" "3" "11" "1"
"349" "GRM5" "4" "4" "4" "16" "32" "3" "2" "19" "3" "7" "22" "1" "17" "0"
"350" "GOLGB1" "4" "18" "6" "14" "38" "3" "7" "23" "3" "9" "9" "1" "17" "2"
"351" "LOXHD1" "0" "16" "8" "0" "13" "0" "0" "18" "7" "0" "0" "0" "0" "0"
"352" "PLXNC1" "1" "8" "3" "9" "29" "1" "2" "20" "2" "6" "8" "0" "10" "2"
"353" "ZC3H13" "4" "10" "6" "22" "45" "3" "2" "21" "3" "5" "8" "1" "5" "3"
"354" "NRXN3" "4" "15" "3" "21" "50" "4" "3" "19" "2" "16" "15" "0" "13" "1"
"355" "SLITRK2" "5" "11" "4" "15" "32" "5" "4" "21" "1" "8" "31" "0" "10" "0"
"356" "ANO4" "8" "15" "1" "13" "21" "7" "4" "13" "1" "12" "8" "1" "13" "1"
"357" "PLXNA2" "4" "14" "9" "8" "47" "3" "3" "20" "2" "8" "9" "1" "7" "1"
"358" "KIAA1210" "7" "23" "5" "7" "24" "6" "5" "16" "3" "9" "13" "1" "14" "0"
"359" "HEPH" "4" "13" "4" "4" "24" "1" "5" "20" "2" "9" "15" "3" "17" "0"
"360" "FANCM" "7" "9" "6" "14" "32" "4" "2" "20" "2" "4" "12" "3" "10" "1"
"361" "MYH6" "8" "12" "6" "10" "44" "5" "2" "21" "3" "10" "19" "3" "18" "3"
"362" "COL6A6" "5" "16" "18" "19" "39" "5" "8" "20" "14" "23" "19" "0" "24" "2"
"363" "NBEAL1" "4" "15" "10" "8" "18" "3" "1" "13" "3" "4" "4" "1" "3" "0"
"364" "MED13" "5" "14" "14" "7" "25" "4" "2" "19" "10" "10" "8" "1" "5" "1"
"365" "CCDC132" "4" "7" "7" "4" "14" "4" "3" "16" "2" "8" "6" "0" "8" "2"
"366" "FREM1" "5" "23" "10" "13" "33" "4" "4" "21" "7" "6" "17" "1" "17" "2"
"367" "SEMA6D" "4" "6" "3" "8" "36" "2" "0" "21" "3" "7" "19" "2" "9" "0"
"368" "LRRIQ1" "11" "14" "7" "14" "44" "8" "5" "22" "5" "8" "22" "3" "13" "0"
"369" "SAMD9" "4" "12" "8" "13" "23" "4" "4" "22" "5" "5" "16" "0" "7" "0"
"370" "NCOR1" "4" "42" "15" "13" "34" "2" "1" "17" "8" "11" "12" "2" "11" "3"
"371" "PHF3" "6" "11" "5" "11" "27" "2" "2" "16" "3" "11" "6" "4" "9" "1"
"372" "SYNM" "4" "9" "6" "7" "14" "4" "6" "19" "2" "3" "6" "0" "4" "0"
"373" "KRAS" "3" "6" "3" "97" "31" "2" "2" "54" "1" "1" "75" "1" "2" "4"
"374" "IGSF1" "3" "15" "5" "12" "26" "2" "4" "16" "4" "14" "14" "1" "9" "2"
"375" "ZMYM3" "7" "17" "3" "11" "17" "4" "1" "19" "2" "9" "5" "3" "10" "0"
"376" "LRBA" "4" "27" "13" "13" "35" "3" "4" "22" "4" "8" "14" "1" "14" "0"
"377" "EPG5" "4" "18" "4" "0" "11" "0" "0" "21" "0" "0" "0" "4" "0" "4"
"378" "DNAH14" "0" "21" "14" "3" "21" "0" "0" "18" "9" "0" "0" "0" "1" "0"
"379" "NRG1" "4" "6" "6" "14" "34" "2" "4" "19" "4" "1" "9" "2" "7" "1"
"380" "XRN2" "2" "4" "4" "9" "14" "1" "1" "19" "3" "6" "3" "1" "4" "1"
"381" "RP1L1" "7" "15" "18" "12" "42" "5" "8" "19" "11" "12" "48" "2" "18" "0"
"382" "TMEM131" "4" "13" "7" "7" "20" "1" "5" "23" "4" "6" "2" "3" "11" "0"
"383" "ROBO1" "6" "15" "7" "25" "41" "5" "4" "23" "1" "8" "13" "1" "9" "0"
"384" "RTTN" "4" "10" "5" "7" "28" "3" "4" "17" "5" "5" "14" "1" "12" "3"
"385" "KIF21A" "4" "9" "6" "9" "25" "2" "5" "18" "3" "7" "12" "2" "11" "1"
"386" "SCN1A" "8" "16" "11" "20" "40" "4" "7" "23" "5" "22" "19" "4" "34" "2"
"387" "FLG2" "15" "21" "6" "15" "41" "14" "11" "17" "5" "11" "42" "1" "21" "4"
"388" "SPG11" "2" "10" "7" "11" "23" "2" "4" "19" "3" "12" "6" "0" "11" "0"
"389" "ZNF407" "6" "14" "10" "11" "25" "6" "4" "21" "7" "9" "7" "0" "9" "2"
"390" "SCN9A" "12" "15" "6" "19" "45" "12" "6" "23" "4" "12" "11" "0" "10" "2"
"391" "VPRBP" "0" "10" "5" "5" "18" "0" "1" "24" "1" "1" "3" "0" "6" "0"
"392" "CR1" "2" "15" "11" "11" "29" "0" "3" "19" "7" "11" "12" "2" "11" "0"
"393" "ATG2B" "4" "10" "5" "9" "25" "2" "1" "17" "2" "9" "9" "2" "15" "1"
"394" "FAM135A" "0" "5" "7" "7" "21" "0" "0" "22" "5" "5" "6" "0" "5" "0"
"395" "TET1" "2" "14" "8" "21" "31" "1" "7" "24" "3" "8" "12" "1" "13" "1"
"396" "THADA" "5" "12" "7" "6" "21" "5" "4" "22" "5" "8" "8" "0" "12" "0"
"397" "CENPE" "5" "20" "11" "11" "19" "5" "4" "20" "5" "9" "10" "0" "11" "0"
"398" "SLC12A1" "1" "3" "4" "7" "32" "1" "1" "15" "1" "6" "9" "0" "11" "0"
"399" "C20orf26" "2" "13" "5" "10" "30" "0" "3" "19" "5" "8" "9" "2" "22" "0"
"400" "VPS13D" "5" "23" "13" "19" "51" "3" "6" "23" "8" "17" "15" "2" "21" "3"
"401" "PDGFRA" "17" "8" "6" "14" "25" "12" "4" "14" "5" "7" "18" "5" "13" "0"
"402" "BRWD3" "5" "17" "8" "11" "22" "3" "4" "24" "4" "15" "18" "2" "16" "0"
"403" "PTPRQ" "0" "13" "5" "0" "11" "0" "0" "16" "5" "0" "0" "0" "0" "0"
"404" "HEATR1" "4" "12" "5" "15" "32" "2" "3" "21" "3" "7" "10" "2" "7" "3"
"405" "PPL" "4" "12" "4" "11" "30" "3" "3" "20" "3" "5" "8" "1" "3" "3"
"406" "KIF16B" "8" "16" "5" "11" "30" "6" "1" "16" "4" "4" "11" "2" "7" "0"
"407" "CHD9" "12" "17" "8" "12" "31" "10" "2" "17" "7" "5" "12" "2" "9" "3"
"408" "MGA" "3" "20" "12" "12" "46" "3" "7" "29" "4" "5" "20" "0" "11" "1"
"409" "IGF2R" "4" "13" "11" "20" "34" "3" "3" "29" "6" "5" "12" "1" "12" "1"
"410" "ZNF99" "7" "11" "5" "11" "37" "6" "2" "16" "3" "25" "19" "1" "27" "0"
"411" "MORC4" "3" "6" "3" "3" "10" "1" "2" "20" "2" "3" "2" "2" "4" "0"
"412" "CNTN4" "6" "12" "1" "13" "28" "5" "2" "22" "0" "9" "17" "1" "12" "0"
"413" "ADAMTS20" "8" "14" "12" "13" "32" "6" "7" "22" "10" "15" "29" "2" "21" "2"
"414" "MCF2L2" "1" "9" "6" "12" "19" "1" "2" "19" "3" "10" "6" "0" "14" "2"
"415" "MPDZ" "3" "14" "5" "9" "28" "2" "5" "19" "4" "7" "12" "1" "7" "3"
"416" "TNIK" "2" "14" "4" "8" "16" "2" "5" "22" "3" "17" "5" "0" "13" "1"
"417" "MYO9A" "4" "15" "8" "17" "21" "1" "1" "21" "1" "8" "10" "3" "6" "1"
"418" "GPR179" "3" "12" "11" "8" "29" "3" "4" "21" "7" "12" "5" "0" "3" "4"
"419" "DNMBP" "4" "12" "4" "11" "25" "4" "5" "16" "0" "5" "3" "0" "8" "0"
"420" "CUL7" "1" "13" "6" "8" "28" "0" "3" "18" "4" "6" "7" "1" "2" "0"
"421" "CNTNAP5" "9" "17" "1" "15" "56" "9" "11" "30" "0" "12" "33" "0" "36" "0"
"422" "IQGAP2" "1" "10" "8" "12" "17" "1" "6" "18" "5" "7" "14" "0" "7" "0"
"423" "NAV3" "6" "19" "12" "17" "59" "4" "5" "26" "8" "28" "49" "2" "46" "4"
"424" "THSD7A" "4" "18" "5" "8" "37" "3" "3" "21" "1" "22" "18" "1" "15" "0"
"425" "ITGAM" "8" "9" "7" "9" "19" "8" "1" "15" "3" "5" "17" "0" "9" "2"
"426" "PCDHB5" "8" "7" "3" "15" "27" "7" "4" "22" "1" "5" "9" "1" "9" "2"
"427" "UNC79" "1" "18" "5" "0" "9" "0" "0" "20" "0" "0" "0" "1" "0" "3"
"428" "CACNA2D3" "3" "11" "0" "8" "28" "2" "1" "20" "0" "2" "10" "1" "3" "1"
"429" "GPRASP1" "1" "11" "8" "7" "20" "0" "2" "22" "4" "7" "11" "1" "10" "1"
"430" "FAM83B" "10" "7" "7" "4" "15" "6" "5" "18" "7" "5" "14" "4" "10" "1"
"431" "SMG1" "4" "24" "14" "10" "31" "4" "1" "29" "1" "12" "14" "0" "13" "2"
"432" "SRRM2" "7" "18" "17" "14" "38" "4" "6" "25" "6" "8" "12" "3" "14" "2"
"433" "PHLDB2" "7" "11" "0" "9" "24" "5" "4" "16" "0" "6" "5" "2" "11" "3"
"434" "SNRNP200" "5" "16" "4" "14" "25" "2" "8" "18" "3" "6" "12" "3" "9" "0"
"435" "KIRREL" "1" "10" "4" "4" "21" "1" "1" "19" "3" "4" "9" "0" "3" "0"
"436" "SCAPER" "1" "9" "7" "4" "16" "1" "2" "13" "3" "1" "1" "0" "6" "0"
"437" "PCDHA8" "6" "12" "12" "8" "35" "6" "1" "18" "1" "6" "11" "0" "9" "0"
"438" "EPHB1" "4" "14" "4" "11" "34" "4" "5" "22" "1" "10" "19" "0" "20" "3"
"439" "LRRK1" "12" "15" "12" "12" "32" "9" "3" "22" "9" "3" "8" "3" "9" "0"
"440" "CELSR2" "4" "15" "13" "12" "49" "2" "4" "20" "5" "22" "6" "2" "12" "0"
"441" "CLASP1" "3" "10" "6" "9" "17" "2" "1" "21" "3" "2" "6" "1" "6" "1"
"442" "SLC9A10" "5" "0" "1" "7" "6" "5" "4" "19" "1" "5" "6" "0" "9" "0"
"443" "REV3L" "2" "14" "6" "18" "48" "1" "1" "22" "2" "10" "9" "1" "6" "1"
"444" "FILIP1" "7" "9" "2" "14" "27" "5" "0" "20" "1" "5" "5" "2" "8" "1"
"445" "TRPA1" "8" "9" "4" "15" "42" "5" "5" "20" "1" "7" "25" "3" "18" "1"
"446" "A2M" "6" "9" "7" "12" "30" "4" "1" "16" "3" "7" "11" "2" "15" "1"
"447" "TNRC6A" "6" "14" "9" "8" "30" "1" "4" "26" "3" "12" "13" "5" "6" "0"
"448" "COL19A1" "8" "15" "8" "8" "17" "6" "2" "22" "4" "8" "21" "2" "21" "1"
"449" "MSH6" "3" "10" "7" "14" "28" "3" "2" "17" "3" "1" "3" "0" "5" "0"
"450" "CDK5RAP2" "5" "15" "7" "8" "30" "2" "2" "16" "6" "8" "6" "3" "5" "0"
"451" "SAMD9L" "8" "9" "5" "15" "38" "8" "5" "22" "2" "8" "18" "0" "8" "1"
"452" "CACNA1G" "5" "16" "11" "10" "29" "2" "3" "23" "8" "12" "12" "3" "10" "5"
"453" "ADAM7" "6" "4" "2" "12" "22" "4" "0" "18" "0" "6" "7" "2" "8" "0"
"454" "MAGEC1" "7" "9" "20" "14" "36" "5" "1" "23" "14" "19" "27" "2" "20" "1"
"455" "ERBB4" "1" "16" "9" "23" "62" "0" "0" "19" "5" "18" "23" "1" "15" "2"
"456" "TPTE" "15" "11" "2" "12" "38" "8" "2" "17" "2" "16" "33" "7" "26" "0"
"457" "LRP6" "4" "9" "9" "16" "15" "2" "2" "21" "2" "12" "7" "2" "8" "0"
"458" "CACNA1F" "4" "23" "4" "13" "18" "2" "4" "29" "3" "6" "13" "2" "10" "0"
"459" "ARHGAP31" "1" "13" "7" "8" "27" "0" "4" "23" "6" "6" "5" "1" "10" "0"
"460" "AKAP11" "1" "9" "3" "9" "24" "1" "1" "19" "2" "6" "7" "0" "7" "1"
"461" "MYO15A" "13" "11" "13" "12" "54" "7" "2" "27" "4" "18" "12" "6" "11" "5"
"462" "CNOT1" "6" "16" "16" "13" "33" "3" "4" "22" "10" "13" "12" "3" "7" "1"
"463" "PCDH11X" "13" "18" "7" "17" "41" "11" "0" "19" "2" "22" "33" "2" "33" "2"
"464" "NYNRIN" "5" "14" "11" "6" "18" "3" "2" "20" "7" "11" "10" "2" "7" "2"
"465" "CCDC73" "0" "4" "9" "6" "15" "0" "2" "13" "5" "4" "10" "0" "6" "0"
"466" "DOCK11" "5" "24" "6" "12" "26" "3" "4" "21" "3" "12" "11" "2" "12" "2"
"467" "POLA1" "5" "15" "4" "7" "8" "2" "3" "20" "1" "3" "6" "3" "10" "0"
"468" "PTPRK" "3" "6" "2" "12" "28" "3" "3" "20" "2" "5" "8" "0" "7" "1"
"469" "MXRA5" "18" "33" "4" "21" "42" "13" "7" "22" "3" "13" "42" "5" "16" "1"
"470" "KCNT2" "4" "14" "4" "16" "37" "2" "4" "17" "2" "16" "20" "2" "15" "1"
"471" "ROS1" "7" "14" "12" "16" "30" "4" "7" "19" "8" "16" "10" "3" "24" "2"
"472" "ZEB2" "2" "8" "6" "16" "37" "0" "5" "21" "4" "9" "20" "2" "17" "0"
"473" "OTOF" "7" "18" "9" "15" "41" "2" "6" "25" "6" "8" "13" "5" "14" "0"
"474" "ZNF709" "2" "1" "5" "4" "11" "2" "0" "13" "1" "3" "3" "0" "3" "2"
"475" "PRPF8" "4" "15" "9" "12" "26" "2" "2" "25" "6" "5" "4" "2" "7" "2"
"476" "IGSF10" "3" "22" "12" "16" "53" "1" "7" "21" "6" "12" "12" "2" "8" "1"
"477" "ANO2" "12" "9" "2" "6" "20" "8" "4" "15" "2" "4" "10" "4" "10" "1"
"478" "NRXN1" "7" "16" "10" "27" "71" "6" "8" "24" "6" "21" "33" "1" "29" "5"
"479" "SLITRK4" "6" "7" "3" "10" "14" "4" "2" "18" "2" "12" "17" "2" "9" "0"
"480" "BRDT" "3" "5" "4" "8" "14" "3" "1" "14" "4" "2" "7" "0" "6" "1"
"481" "MON2" "2" "7" "8" "12" "23" "1" "1" "20" "2" "4" "5" "1" "8" "1"
"482" "ABCA1" "2" "11" "10" "18" "27" "1" "5" "20" "6" "8" "11" "1" "15" "1"
"483" "DSCAML1" "4" "15" "14" "16" "52" "3" "7" "23" "8" "9" "21" "1" "19" "1"
"484" "TDRD6" "4" "11" "10" "10" "38" "4" "2" "24" "7" "10" "8" "0" "10" "2"
"485" "ARHGAP20" "1" "5" "5" "12" "18" "1" "4" "20" "3" "4" "4" "0" "4" "0"
"486" "PCDHGA12" "3" "8" "4" "7" "29" "3" "2" "18" "1" "9" "6" "0" "6" "0"
"487" "CPS1" "8" "13" "6" "11" "35" "5" "8" "13" "5" "13" "33" "3" "26" "1"
"488" "ARFGEF1" "2" "14" "7" "11" "30" "2" "4" "19" "5" "9" "10" "0" "7" "0"
"489" "SPTB" "5" "18" "6" "20" "28" "3" "9" "24" "4" "10" "13" "2" "14" "1"
"490" "DEPDC5" "6" "16" "4" "7" "31" "5" "5" "17" "2" "6" "6" "1" "11" "1"
"491" "LRP1" "12" "33" "15" "21" "51" "10" "8" "35" "11" "20" "20" "2" "18" "6"
"492" "ALG13" "2" "7" "5" "1" "17" "1" "0" "21" "4" "4" "7" "1" "8" "4"
"493" "HRNR" "22" "44" "13" "19" "57" "17" "6" "25" "4" "24" "39" "5" "23" "2"
"494" "PDZD2" "4" "21" "15" "22" "58" "2" "5" "24" "10" "14" "11" "2" "18" "2"
"495" "SORL1" "4" "10" "7" "11" "30" "2" "7" "22" "4" "11" "13" "2" "8" "1"
"496" "RASA1" "2" "2" "8" "7" "25" "1" "1" "24" "4" "13" "5" "1" "8" "1"
"497" "COL6A5" "0" "31" "10" "6" "23" "0" "2" "19" "4" "0" "0" "0" "0" "0"
"498" "TET2" "4" "11" "10" "8" "21" "2" "2" "17" "8" "4" "4" "2" "5" "0"
"499" "ANKRD36" "5" "10" "12" "0" "10" "5" "2" "15" "12" "11" "3" "0" "1" "1"
"500" "ABCA5" "3" "9" "7" "10" "26" "3" "3" "16" "4" "4" "7" "0" "5" "3"
"501" "PLEKHH2" "0" "13" "7" "9" "18" "0" "0" "15" "6" "7" "2" "0" "11" "0"
"502" "NFASC" "2" "13" "8" "19" "32" "1" "3" "31" "5" "4" "15" "1" "8" "0"
"503" "PAPPA" "6" "17" "5" "20" "39" "3" "4" "20" "1" "11" "15" "3" "10" "0"
"504" "FREM3" "0" "17" "1" "0" "12" "0" "0" "18" "1" "0" "0" "0" "0" "0"
"505" "PIK3CG" "14" "9" "4" "14" "24" "13" "4" "20" "3" "12" "15" "1" "20" "2"
"506" "BSN" "6" "14" "8" "17" "43" "4" "6" "25" "3" "14" "9" "2" "13" "2"
"507" "TRPC4" "4" "8" "5" "19" "26" "3" "4" "15" "4" "7" "23" "1" "7" "1"
"508" "DGKI" "2" "10" "0" "11" "33" "2" "2" "16" "0" "8" "18" "0" "13" "0"
"509" "DUSP27" "6" "11" "7" "10" "19" "4" "4" "15" "4" "8" "20" "2" "17" "1"
"510" "PCDHA7" "6" "9" "1" "6" "38" "5" "2" "22" "1" "15" "14" "1" "11" "0"
"511" "WDR96" "2" "9" "2" "0" "2" "0" "0" "20" "0" "0" "0" "2" "0" "0"
"512" "CEP170" "2" "13" "5" "9" "19" "2" "1" "16" "4" "10" "4" "0" "7" "0"
"513" "WDR17" "1" "14" "5" "12" "33" "0" "2" "15" "2" "11" "8" "1" "19" "1"
"514" "MCF2" "5" "6" "4" "12" "16" "2" "0" "20" "1" "7" "13" "3" "13" "1"
"515" "YLPM1" "1" "17" "15" "10" "32" "1" "4" "20" "9" "6" "10" "0" "11" "3"
"516" "PPP2R1A" "0" "4" "3" "7" "18" "0" "4" "28" "2" "5" "5" "0" "10" "2"
"517" "DMXL1" "3" "20" "13" "14" "37" "1" "3" "26" "5" "7" "13" "2" "9" "3"
"518" "NOS1" "14" "14" "12" "11" "38" "9" "3" "23" "11" "3" "15" "5" "15" "1"
"519" "KIF14" "0" "11" "6" "8" "20" "0" "2" "19" "6" "9" "9" "0" "6" "1"
"520" "ZC3H12B" "6" "12" "0" "4" "12" "4" "0" "14" "0" "2" "8" "2" "4" "0"
"521" "STAG2" "14" "13" "15" "8" "17" "12" "4" "25" "7" "6" "10" "2" "7" "1"
"522" "ENPP2" "8" "10" "5" "11" "11" "6" "3" "16" "2" "7" "8" "2" "10" "4"
"523" "TRPS1" "4" "8" "2" "21" "57" "4" "3" "16" "0" "8" "30" "0" "12" "1"
"524" "ADCY9" "6" "16" "9" "8" "26" "5" "6" "18" "3" "3" "5" "1" "3" "3"
